Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Balance Beam, Women",TCH,1,1964,Artistic Gymnastics,Women,Balance Beam
"Balance Beam, Women",URS,2,1964,Artistic Gymnastics,Women,Balance Beam
"Balance Beam, Women",URS,3,1964,Artistic Gymnastics,Women,Balance Beam
"Floor Exercise, Men",ITA,1,1964,Artistic Gymnastics,Men,Floor Exercise
"Floor Exercise, Men",URS,2,1964,Artistic Gymnastics,Men,Floor Exercise
"Floor Exercise, Men",JPN,2,1964,Artistic Gymnastics,Men,Floor Exercise
"Floor Exercise, Men",DQ,3,1964,Artistic Gymnastics,Men,Floor Exercise
"Floor Exercise, Women",URS,1,1964,Artistic Gymnastics,Women,Floor Exercise
"Floor Exercise, Women",URS,2,1964,Artistic Gymnastics,Women,Floor Exercise
"Floor Exercise, Women",HUN,3,1964,Artistic Gymnastics,Women,Floor Exercise
"Horizontal Bar, Men",URS,1,1964,Artistic Gymnastics,Men,Horizontal Bar
"Horizontal Bar, Men",URS,2,1964,Artistic Gymnastics,Men,Horizontal Bar
"Horizontal Bar, Men",YUG,3,1964,Artistic Gymnastics,Men,Horizontal Bar
"Horse Vault, Men",JPN,1,1964,Artistic Gymnastics,Men,Horse Vault
"Horse Vault, Men",URS,2,1964,Artistic Gymnastics,Men,Horse Vault
"Horse Vault, Men",FIN,3,1964,Artistic Gymnastics,Men,Horse Vault
"Horse Vault, Women",TCH,1,1964,Artistic Gymnastics,Women,Horse Vault
"Horse Vault, Women",DQ,3,1964,Artistic Gymnastics,Women,Horse Vault
"Horse Vault, Women",URS,2,1964,Artistic Gymnastics,Women,Horse Vault
"Horse Vault, Women",GER,2,1964,Artistic Gymnastics,Women,Horse Vault
"Individual All-Around, Men",JPN,1,1964,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Men",DQ,3,1964,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Men",JPN,2,1964,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Men",URS,2,1964,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Men",URS,2,1964,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Women",TCH,1,1964,Artistic Gymnastics,Women,Individual All-Around
"Individual All-Around, Women",URS,2,1964,Artistic Gymnastics,Women,Individual All-Around
"Individual All-Around, Women",URS,3,1964,Artistic Gymnastics,Women,Individual All-Around
"Parallel Bars, Men",JPN,1,1964,Artistic Gymnastics,Men,Parallel Bars
"Parallel Bars, Men",JPN,2,1964,Artistic Gymnastics,Men,Parallel Bars
"Parallel Bars, Men",ITA,3,1964,Artistic Gymnastics,Men,Parallel Bars
"Pommelled Horse, Men",YUG,1,1964,Artistic Gymnastics,Men,Pommelled Horse
"Pommelled Horse, Men",JPN,2,1964,Artistic Gymnastics,Men,Pommelled Horse
"Pommelled Horse, Men",URS,3,1964,Artistic Gymnastics,Men,Pommelled Horse
"Rings, Men",JPN,1,1964,Artistic Gymnastics,Men,Rings
"Rings, Men",ITA,2,1964,Artistic Gymnastics,Men,Rings
"Rings, Men",URS,3,1964,Artistic Gymnastics,Men,Rings
"Team All-Around, Men",JPN,1,1964,Artistic Gymnastics,Men,Team All-Around
"Team All-Around, Men",URS,2,1964,Artistic Gymnastics,Men,Team All-Around
"Team All-Around, Men",GER,3,1964,Artistic Gymnastics,Men,Team All-Around
"Team All-Around, Women",URS,1,1964,Artistic Gymnastics,Women,Team All-Around
"Team All-Around, Women",TCH,2,1964,Artistic Gymnastics,Women,Team All-Around
"Team All-Around, Women",JPN,3,1964,Artistic Gymnastics,Women,Team All-Around
"Uneven Bars, Women",URS,1,1964,Artistic Gymnastics,Women,Uneven Bars
"Uneven Bars, Women",HUN,2,1964,Artistic Gymnastics,Women,Uneven Bars
"Uneven Bars, Women",URS,3,1964,Artistic Gymnastics,Women,Uneven Bars
"1,500 metres, Men",NZL,1,1964,Athletics,Men,"1,500 metres"
"1,500 metres, Men",TCH,2,1964,Athletics,Men,"1,500 metres"
"1,500 metres, Men",NZL,3,1964,Athletics,Men,"1,500 metres"
"10,000 metres, Men",USA,1,1964,Athletics,Men,"10,000 metres"
"10,000 metres, Men",TUN,2,1964,Athletics,Men,"10,000 metres"
"10,000 metres, Men",AUS,3,1964,Athletics,Men,"10,000 metres"
"100 metres, Men",USA,1,1964,Athletics,Men,100 metres
"100 metres, Men",CUB,2,1964,Athletics,Men,100 metres
"100 metres, Men",CAN,3,1964,Athletics,Men,100 metres
"100 metres, Women",USA,1,1964,Athletics,Women,100 metres
"100 metres, Women",USA,2,1964,Athletics,Women,100 metres
"100 metres, Women",POL,3,1964,Athletics,Women,100 metres
"110 metres Hurdles, Men",USA,1,1964,Athletics,Men,110 metres Hurdles
"110 metres Hurdles, Men",USA,2,1964,Athletics,Men,110 metres Hurdles
"110 metres Hurdles, Men",URS,3,1964,Athletics,Men,110 metres Hurdles
"20 kilometres Walk, Men",GBR,1,1964,Athletics,Men,20 kilometres Walk
"20 kilometres Walk, Men",GER,2,1964,Athletics,Men,20 kilometres Walk
"20 kilometres Walk, Men",URS,3,1964,Athletics,Men,20 kilometres Walk
"200 metres, Men",USA,1,1964,Athletics,Men,200 metres
"200 metres, Men",USA,2,1964,Athletics,Men,200 metres
"200 metres, Men",TTO,3,1964,Athletics,Men,200 metres
"200 metres, Women",USA,1,1964,Athletics,Women,200 metres
"200 metres, Women",POL,2,1964,Athletics,Women,200 metres
"200 metres, Women",AUS,3,1964,Athletics,Women,200 metres
"3,000 metres Steeplechase, Men",BEL,1,1964,Athletics,Men,"3,000 metres Steeplechase"
"3,000 metres Steeplechase, Men",GBR,2,1964,Athletics,Men,"3,000 metres Steeplechase"
"3,000 metres Steeplechase, Men",URS,3,1964,Athletics,Men,"3,000 metres Steeplechase"
"4 x 100 metres Freestyle Relay, Men",AUS,1,2000,Swimming,Men,4 x 100 metres Freestyle Relay
"4 x 100 metres Freestyle Relay, Men",USA,2,2000,Swimming,Men,4 x 100 metres Freestyle Relay
"4 x 100 metres Freestyle Relay, Men",BRA,3,2000,Swimming,Men,4 x 100 metres Freestyle Relay
"4 x 100 metres Freestyle Relay, Women",USA,1,2000,Swimming,Women,4 x 100 metres Freestyle Relay
"4 x 100 metres Freestyle Relay, Women",NED,2,2000,Swimming,Women,4 x 100 metres Freestyle Relay
"4 x 100 metres Freestyle Relay, Women",SWE,3,2000,Swimming,Women,4 x 100 metres Freestyle Relay
"4 x 100 metres Medley Relay, Men",USA,1,2000,Swimming,Men,4 x 100 metres Medley Relay
"4 x 100 metres Medley Relay, Men",AUS,2,2000,Swimming,Men,4 x 100 metres Medley Relay
"4 x 100 metres Medley Relay, Men",GER,3,2000,Swimming,Men,4 x 100 metres Medley Relay
"400 metres Hurdles, Men",USA,1,1964,Athletics,Men,400 metres Hurdles
"400 metres Hurdles, Men",GBR,2,1964,Athletics,Men,400 metres Hurdles
"400 metres Hurdles, Men",ITA,3,1964,Athletics,Men,400 metres Hurdles
"400 metres, Men",USA,1,1964,Athletics,Men,400 metres
"400 metres, Men",TTO,2,1964,Athletics,Men,400 metres
"400 metres, Men",POL,3,1964,Athletics,Men,400 metres
"400 metres, Women",AUS,1,1964,Athletics,Women,400 metres
"400 metres, Women",GBR,2,1964,Athletics,Women,400 metres
"400 metres, Women",AUS,3,1964,Athletics,Women,400 metres
"5,000 metres, Men",USA,1,1964,Athletics,Men,"5,000 metres"
"5,000 metres, Men",GER,2,1964,Athletics,Men,"5,000 metres"
"5,000 metres, Men",USA,3,1964,Athletics,Men,"5,000 metres"
"50 kilometres Walk, Men",ITA,1,1964,Athletics,Men,50 kilometres Walk
"50 kilometres Walk, Men",GBR,2,1964,Athletics,Men,50 kilometres Walk
"50 kilometres Walk, Men",SWE,3,1964,Athletics,Men,50 kilometres Walk
"80 metres Hurdles, Women",GER,1,1964,Athletics,Women,80 metres Hurdles
"80 metres Hurdles, Women",POL,2,1964,Athletics,Women,80 metres Hurdles
"80 metres Hurdles, Women",AUS,3,1964,Athletics,Women,80 metres Hurdles
"800 metres, Men",NZL,1,1964,Athletics,Men,800 metres
"800 metres, Men",CAN,2,1964,Athletics,Men,800 metres
"800 metres, Men",KEN,3,1964,Athletics,Men,800 metres
"800 metres, Women",GBR,1,1964,Athletics,Women,800 metres
"800 metres, Women",FRA,2,1964,Athletics,Women,800 metres
"800 metres, Women",NZL,3,1964,Athletics,Women,800 metres
"Decathlon, Men",GER,1,1964,Athletics,Men,Decathlon
"Decathlon, Men",URS,2,1964,Athletics,Men,Decathlon
"Decathlon, Men",GER,3,1964,Athletics,Men,Decathlon
"Discus Throw, Men",USA,1,1964,Athletics,Men,Discus Throw
"Discus Throw, Men",TCH,2,1964,Athletics,Men,Discus Throw
"Discus Throw, Men",USA,3,1964,Athletics,Men,Discus Throw
"Discus Throw, Women",URS,1,1964,Athletics,Women,Discus Throw
"Discus Throw, Women",GER,2,1964,Athletics,Women,Discus Throw
"Discus Throw, Women",ROU,3,1964,Athletics,Women,Discus Throw
"Hammer Throw, Men",URS,1,1964,Athletics,Men,Hammer Throw
"Hammer Throw, Men",HUN,2,1964,Athletics,Men,Hammer Throw
"Hammer Throw, Men",GER,3,1964,Athletics,Men,Hammer Throw
"High Jump, Men",URS,1,1964,Athletics,Men,High Jump
"High Jump, Men",USA,2,1964,Athletics,Men,High Jump
"High Jump, Men",USA,3,1964,Athletics,Men,High Jump
"High Jump, Women",ROU,1,1964,Athletics,Women,High Jump
"High Jump, Women",AUS,2,1964,Athletics,Women,High Jump
"High Jump, Women",URS,3,1964,Athletics,Women,High Jump
"Javelin Throw, Men",FIN,1,1964,Athletics,Men,Javelin Throw
"Javelin Throw, Men",HUN,2,1964,Athletics,Men,Javelin Throw
"Javelin Throw, Men",URS,3,1964,Athletics,Men,Javelin Throw
"Javelin Throw, Women",ROU,1,1964,Athletics,Women,Javelin Throw
