Event,NOC,Pos.,Year,Discipline
"Balance Beam, Women",TCH,1,1964,Artistic Gymnastics
"Balance Beam, Women",URS,2,1964,Artistic Gymnastics
"Balance Beam, Women",URS,3,1964,Artistic Gymnastics
"Floor Exercise, Men",ITA,1,1964,Artistic Gymnastics
"Floor Exercise, Men",URS,2,1964,Artistic Gymnastics
"Floor Exercise, Men",JPN,2,1964,Artistic Gymnastics
"Floor Exercise, Men",0,3,1964,Artistic Gymnastics
"Floor Exercise, Women",URS,1,1964,Artistic Gymnastics
"Floor Exercise, Women",URS,2,1964,Artistic Gymnastics
"Floor Exercise, Women",HUN,3,1964,Artistic Gymnastics
"Horizontal Bar, Men",URS,1,1964,Artistic Gymnastics
"Horizontal Bar, Men",URS,2,1964,Artistic Gymnastics
"Horizontal Bar, Men",YUG,3,1964,Artistic Gymnastics
"Horse Vault, Men",JPN,1,1964,Artistic Gymnastics
"Horse Vault, Men",URS,2,1964,Artistic Gymnastics
"Horse Vault, Men",FIN,3,1964,Artistic Gymnastics
"Horse Vault, Women",TCH,1,1964,Artistic Gymnastics
"Horse Vault, Women",0,3,1964,Artistic Gymnastics
"Horse Vault, Women",URS,2,1964,Artistic Gymnastics
"Horse Vault, Women",GER,2,1964,Artistic Gymnastics
"Individual All-Around, Men",JPN,1,1964,Artistic Gymnastics
"Individual All-Around, Men",0,3,1964,Artistic Gymnastics
"Individual All-Around, Men",JPN,2,1964,Artistic Gymnastics
"Individual All-Around, Men",URS,2,1964,Artistic Gymnastics
"Individual All-Around, Men",URS,2,1964,Artistic Gymnastics
"Individual All-Around, Women",TCH,1,1964,Artistic Gymnastics
"Individual All-Around, Women",URS,2,1964,Artistic Gymnastics
"Individual All-Around, Women",URS,3,1964,Artistic Gymnastics
"Parallel Bars, Men",JPN,1,1964,Artistic Gymnastics
"Parallel Bars, Men",JPN,2,1964,Artistic Gymnastics
"Parallel Bars, Men",ITA,3,1964,Artistic Gymnastics
"Pommelled Horse, Men",YUG,1,1964,Artistic Gymnastics
"Pommelled Horse, Men",JPN,2,1964,Artistic Gymnastics
"Pommelled Horse, Men",URS,3,1964,Artistic Gymnastics
"Rings, Men",JPN,1,1964,Artistic Gymnastics
"Rings, Men",ITA,2,1964,Artistic Gymnastics
"Rings, Men",URS,3,1964,Artistic Gymnastics
"Team All-Around, Men",JPN,1,1964,Artistic Gymnastics
"Team All-Around, Men",URS,2,1964,Artistic Gymnastics
"Team All-Around, Men",GER,3,1964,Artistic Gymnastics
"Team All-Around, Women",URS,1,1964,Artistic Gymnastics
"Team All-Around, Women",TCH,2,1964,Artistic Gymnastics
"Team All-Around, Women",JPN,3,1964,Artistic Gymnastics
"Uneven Bars, Women",URS,1,1964,Artistic Gymnastics
"Uneven Bars, Women",HUN,2,1964,Artistic Gymnastics
"Uneven Bars, Women",URS,3,1964,Artistic Gymnastics
"1,500 metres, Men",NZL,1,1964,Athletics
"1,500 metres, Men",TCH,2,1964,Athletics
"1,500 metres, Men",NZL,3,1964,Athletics
"10,000 metres, Men",USA,1,1964,Athletics
"10,000 metres, Men",TUN,2,1964,Athletics
"10,000 metres, Men",AUS,3,1964,Athletics
"100 metres, Men",USA,1,1964,Athletics
"100 metres, Men",CUB,2,1964,Athletics
"100 metres, Men",CAN,3,1964,Athletics
"100 metres, Women",USA,1,1964,Athletics
"100 metres, Women",USA,2,1964,Athletics
"100 metres, Women",POL,3,1964,Athletics
"110 metres Hurdles, Men",USA,1,1964,Athletics
"110 metres Hurdles, Men",USA,2,1964,Athletics
"110 metres Hurdles, Men",URS,3,1964,Athletics
"20 kilometres Walk, Men",GBR,1,1964,Athletics
"20 kilometres Walk, Men",GER,2,1964,Athletics
"20 kilometres Walk, Men",URS,3,1964,Athletics
"200 metres, Men",USA,1,1964,Athletics
"200 metres, Men",USA,2,1964,Athletics
"200 metres, Men",TTO,3,1964,Athletics
"200 metres, Women",USA,1,1964,Athletics
"200 metres, Women",POL,2,1964,Athletics
"200 metres, Women",AUS,3,1964,Athletics
"3,000 metres Steeplechase, Men",BEL,1,1964,Athletics
"3,000 metres Steeplechase, Men",GBR,2,1964,Athletics
"3,000 metres Steeplechase, Men",URS,3,1964,Athletics
"4 x 100 metres Freestyle Relay, Men",AUS,1,2000,Swimming
"4 x 100 metres Freestyle Relay, Men",USA,2,2000,Swimming
"4 x 100 metres Freestyle Relay, Men",BRA,3,2000,Swimming
"4 x 100 metres Freestyle Relay, Women",USA,1,2000,Swimming
"4 x 100 metres Freestyle Relay, Women",NED,2,2000,Swimming
"4 x 100 metres Freestyle Relay, Women",SWE,3,2000,Swimming
"4 x 100 metres Medley Relay, Men",USA,1,2000,Swimming
"4 x 100 metres Medley Relay, Men",AUS,2,2000,Swimming
"4 x 100 metres Medley Relay, Men",GER,3,2000,Swimming
"400 metres Hurdles, Men",USA,1,1964,Athletics
"400 metres Hurdles, Men",GBR,2,1964,Athletics
"400 metres Hurdles, Men",ITA,3,1964,Athletics
"400 metres, Men",USA,1,1964,Athletics
"400 metres, Men",TTO,2,1964,Athletics
"400 metres, Men",POL,3,1964,Athletics
"400 metres, Women",AUS,1,1964,Athletics
"400 metres, Women",GBR,2,1964,Athletics
"400 metres, Women",AUS,3,1964,Athletics
"5,000 metres, Men",USA,1,1964,Athletics
"5,000 metres, Men",GER,2,1964,Athletics
"5,000 metres, Men",USA,3,1964,Athletics
"50 kilometres Walk, Men",ITA,1,1964,Athletics
"50 kilometres Walk, Men",GBR,2,1964,Athletics
"50 kilometres Walk, Men",SWE,3,1964,Athletics
"80 metres Hurdles, Women",GER,1,1964,Athletics
"80 metres Hurdles, Women",POL,2,1964,Athletics
"80 metres Hurdles, Women",AUS,3,1964,Athletics
"800 metres, Men",NZL,1,1964,Athletics
"800 metres, Men",CAN,2,1964,Athletics
"800 metres, Men",KEN,3,1964,Athletics
"800 metres, Women",GBR,1,1964,Athletics
"800 metres, Women",FRA,2,1964,Athletics
"800 metres, Women",NZL,3,1964,Athletics
"Decathlon, Men",GER,1,1964,Athletics
"Decathlon, Men",URS,2,1964,Athletics
"Decathlon, Men",GER,3,1964,Athletics
"Discus Throw, Men",USA,1,1964,Athletics
"Discus Throw, Men",TCH,2,1964,Athletics
"Discus Throw, Men",USA,3,1964,Athletics
"Discus Throw, Women",URS,1,1964,Athletics
"Discus Throw, Women",GER,2,1964,Athletics
"Discus Throw, Women",ROU,3,1964,Athletics
"Hammer Throw, Men",URS,1,1964,Athletics
"Hammer Throw, Men",HUN,2,1964,Athletics
"Hammer Throw, Men",GER,3,1964,Athletics
"High Jump, Men",URS,1,1964,Athletics
"High Jump, Men",USA,2,1964,Athletics
"High Jump, Men",USA,3,1964,Athletics
"High Jump, Women",ROU,1,1964,Athletics
"High Jump, Women",AUS,2,1964,Athletics
"High Jump, Women",URS,3,1964,Athletics
"Javelin Throw, Men",FIN,1,1964,Athletics
"Javelin Throw, Men",HUN,2,1964,Athletics
"Javelin Throw, Men",URS,3,1964,Athletics
"Javelin Throw, Women",ROU,1,1964,Athletics
"Javelin Throw, Women",HUN,2,1964,Athletics
"Javelin Throw, Women",URS,3,1964,Athletics
"Long Jump, Men",GBR,1,1964,Athletics
"Long Jump, Men",USA,2,1964,Athletics
"Long Jump, Men",URS,3,1964,Athletics
"Long Jump, Women",GBR,1,1964,Athletics
"Long Jump, Women",POL,2,1964,Athletics
"Long Jump, Women",URS,3,1964,Athletics
"Marathon, Men",ETH,1,1964,Athletics
"Marathon, Men",GBR,2,1964,Athletics
"Marathon, Men",JPN,3,1964,Athletics
"Pentathlon, Women",URS,1,1964,Athletics
"Pentathlon, Women",GBR,2,1964,Athletics
"Pentathlon, Women",URS,3,1964,Athletics
"Pole Vault, Men",USA,1,1964,Athletics
"Pole Vault, Men",GER,2,1964,Athletics
"Pole Vault, Men",GER,3,1964,Athletics
"Shot Put, Men",USA,1,1964,Athletics
"Shot Put, Men",USA,2,1964,Athletics
"Shot Put, Men",HUN,3,1964,Athletics
"Shot Put, Women",URS,1,1964,Athletics
"Shot Put, Women",GER,2,1964,Athletics
"Shot Put, Women",URS,3,1964,Athletics
"Triple Jump, Men",POL,1,1964,Athletics
"Triple Jump, Men",URS,2,1964,Athletics
"Triple Jump, Men",URS,3,1964,Athletics
"Basketball, Men",USA,1,1964,Basketball
"Basketball, Men",URS,2,1964,Basketball
"Basketball, Men",BRA,3,1964,Basketball
"Bantamweight, Men",JPN,1,1964,Boxing
"Bantamweight, Men",KOR,2,1964,Boxing
"Bantamweight, Men",MEX,3,1964,Boxing
"Bantamweight, Men",URU,3,1964,Boxing
"Featherweight, Men",URS,1,1964,Boxing
"Featherweight, Men",PHI,2,1964,Boxing
"Featherweight, Men",USA,3,1964,Boxing
"Featherweight, Men",GER,3,1964,Boxing
"Flyweight, Men",ITA,1,1964,Boxing
"Flyweight, Men",POL,2,1964,Boxing
"Flyweight, Men",USA,3,1964,Boxing
"Flyweight, Men",URS,3,1964,Boxing
"Heavyweight, Men",USA,1,1964,Boxing
"Heavyweight, Men",GER,2,1964,Boxing
"Heavyweight, Men",ITA,3,1964,Boxing
"Heavyweight, Men",URS,3,1964,Boxing
"Light-Heavyweight, Men",ITA,1,1964,Boxing
"Light-Heavyweight, Men",URS,2,1964,Boxing
"Light-Heavyweight, Men",BUL,3,1964,Boxing
"Light-Heavyweight, Men",POL,3,1964,Boxing
"Light-Middleweight, Men",URS,1,1964,Boxing
"Light-Middleweight, Men",FRA,2,1964,Boxing
"Light-Middleweight, Men",NGR,3,1964,Boxing
"Light-Middleweight, Men",POL,3,1964,Boxing
"Lightweight, Men",POL,1,1964,Boxing
"Lightweight, Men",URS,2,1964,Boxing
"Lightweight, Men",USA,3,1964,Boxing
"Lightweight, Men",IRL,3,1964,Boxing
"Light-Welterweight, Men",POL,1,1964,Boxing
"Light-Welterweight, Men",URS,2,1964,Boxing
"Light-Welterweight, Men",GHA,3,1964,Boxing
"Light-Welterweight, Men",TUN,3,1964,Boxing
"Middleweight, Men",URS,1,1964,Boxing
"Middleweight, Men",GER,2,1964,Boxing
"Middleweight, Men",ITA,3,1964,Boxing
"Middleweight, Men",POL,3,1964,Boxing
"Welterweight, Men",POL,1,1964,Boxing
"Welterweight, Men",URS,2,1964,Boxing
"Welterweight, Men",FIN,3,1964,Boxing
"Welterweight, Men",ITA,3,1964,Boxing
