"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1964","1964",73.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1965","1965",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1966","1966",74,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1967","1967",74.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1968","1968",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1969","1969",74.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1970","1970",74.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1971","1971",74.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1972","1972",75.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1973","1973",75.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1974","1974",75.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1975","1975",76.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1976","1976",76.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1977","1977",76.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1978","1978",77.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1979","1979",77.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1980","1980",78.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1981","1981",78.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1982","1982",78.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1983","1983",78.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1984","1984",79,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1985","1985",78.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1986","1986",79.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1987","1987",79.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1988","1988",79.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1989","1989",79.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1990","1990",80.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1991","1991",80.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1992","1992",80.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1993","1993",80.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1994","1994",80.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1995","1995",80.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1996","1996",81.1,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1997","1997",81.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1998","1998",81.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","1999","1999",81.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2000","2000",82,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2001","2001",82.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2002","2002",82.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2003","2003",82.8,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2004","2004",83,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2005","2005",83.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2006","2006",83.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2007","2007",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2008","2008",83.7,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2009","2009",83.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2010","2010",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2011","2011",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2012","2012",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2013","2013",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2014","2014",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2015","2015",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2016","2016",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2017","2017",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2018","2018",84.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2019","2019",85,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1964","1964",36.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1965","1965",36.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1966","1966",36.6,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1967","1967",37,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1968","1968",36.8,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1969","1969",37.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1970","1970",36.8,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1971","1971",37.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1972","1972",37.8,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1973","1973",37.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1974","1974",37.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1975","1975",38.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1976","1976",38.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1977","1977",38.8,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1978","1978",39.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1979","1979",39.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1980","1980",39.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1981","1981",40.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1982","1982",39.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1983","1983",40.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1984","1984",40.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1985","1985",40.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1986","1986",40.8,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1987","1987",41.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1988","1988",41.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1989","1989",41.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1990","1990",41.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1991","1991",41.8,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1992","1992",41.8,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1993","1993",42.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1994","1994",42.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1995","1995",42.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1996","1996",42.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1997","1997",42.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1998","1998",42.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","1999","1999",43,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2000","2000",43.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2001","2001",43.6,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2002","2002",43.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2003","2003",43.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2004","2004",44.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2005","2005",44.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2006","2006",44.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2007","2007",44.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2008","2008",44.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2009","2009",44.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2010","2010",44.9,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2011","2011",45.1,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2012","2012",45.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2013","2013",45.2,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2014","2014",45.3,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2015","2015",45.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2016","2016",45.4,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2017","2017",45.5,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2018","2018",45.7,,
"EVIEFE40","Females at age 40","EVIDUREV","Years","AUS","Australia","2019","2019",45.9,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1964","1964",19.3,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1965","1965",19.5,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1966","1966",19.3,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1967","1967",19.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1968","1968",19.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1969","1969",19.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1970","1970",19.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1971","1971",20,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1972","1972",20.3,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1973","1973",20.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1974","1974",20.2,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1975","1975",20.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1976","1976",20.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1977","1977",21.1,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1978","1978",21.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1979","1979",21.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1980","1980",21.9,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1981","1981",22.1,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1982","1982",21.9,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1983","1983",22.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1984","1984",22.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1985","1985",22.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1986","1986",22.6,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1987","1987",22.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1988","1988",22.9,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1989","1989",22.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1990","1990",23.2,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1991","1991",23.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1992","1992",23.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1993","1993",23.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1994","1994",24,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1995","1995",23.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1996","1996",23.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1997","1997",24,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1998","1998",24.3,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","1999","1999",24.5,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2000","2000",24.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2001","2001",25,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2002","2002",25.2,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2003","2003",25.3,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2004","2004",25.5,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2005","2005",25.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2006","2006",25.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2007","2007",26,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2008","2008",26,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2009","2009",26.1,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2010","2010",26.2,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2011","2011",26.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2012","2012",26.4,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2013","2013",26.5,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2014","2014",26.6,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2015","2015",26.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2016","2016",26.7,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2017","2017",26.8,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2018","2018",27,,
"EVIEFE60","Females at age 60","EVIDUREV","Years","AUS","Australia","2019","2019",27.1,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1964","1964",15.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1965","1965",15.7,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1966","1966",15.5,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1967","1967",15.9,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1968","1968",15.6,,
"EVIEFE65","Females at age 65","EVIDUREV","Years","AUS","Australia","1969","1969",15.9,,
