Country,Capital,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
Afghanistan,Kabul,North,East,3852.6952340000003,9243.020276000001,3283.4941949999998,7937.373451,2267.337882,10229.32231,3140.46094,3687.702265,8381.179784,6496.640378,2502.8690920000004,2596.700595,3955.769518,7290.724741,3852.6952340000003
Albania,Tirane,North,East,6571.702756000001,6650.258831,645.8761295,5198.828391,1385.794163,7536.133412,5848.84483,945.7830045,5694.970611,8862.276379,329.6791238,5281.5636509999995,1277.354816,5591.135578,6571.702756000001
Algeria,Algiers,North,East,7456.896815000001,5704.149817,932.3905579,4339.752748,2285.897025,6626.090244,6739.0118090000005,346.5107264,4779.414037,9430.625168,1115.622926,6180.126784,1044.929886,4809.9730119999995,7456.896815000001
American Samoa,Pago Pago,South,West,17274.49986,4522.583406000001,10826.12876,6614.730929,12318.146190000001,4379.072411,16595.20251,10172.101929999999,5742.998762,17612.49192,11170.60374,16081.21676,10341.61512,6972.944914,17274.49986
Andorra,Andorra la Vella,North,East,7566.659669,5710.101626,689.6671018,4203.960189,2166.1158100000002,6552.808731,6843.529703,78.63586014,4716.8915,9726.649424,1252.1266679999999,6275.338342,628.9142562000001,5113.942627,7566.659669
Angola,Luanda,South,East,7549.71073,6419.958724,3909.100005,6111.341675,4606.135478,7751.422936,6949.376417,3494.223297,6071.374855,7738.665587,3228.9678089999998,6530.700463,4192.7491979999995,3231.823078,7549.71073
Antigua and Barbuda,West Indies,North,West,11055.47927,2058.682496,4524.417593,2098.780913,6006.97345,3310.0077100000003,10357.080090000001,3855.329918,1693.74307,12135.74144,4846.229317,9823.135527,4099.448352,2942.618984,11055.47927
Argentina,Buenos Aires,South,West,11979.01152,4384.369678,7015.770065000001,5707.86309,8266.251627,5802.97869,11379.30611,6344.970262,5013.546431000001,11533.28485,6837.5604299999995,10951.963179999999,6877.436486,1303.080956,11979.01152
Armenia,Yerevan,North,East,5214.490326,7961.875734,1871.185441,6556.044561,1125.260362,8885.04204,4491.701293,2302.565068,7040.666552,7753.556298,1151.612601,3925.377452,2543.617705,6458.829748,5214.490326
Aruba,Oranjestad,North,West,11560.89616,1657.216431,5094.9917,2309.387607,6574.5079399999995,3029.820032,10867.65721,4422.596476,1673.937056,12492.5469,5393.397585,10339.75272,4674.559738,2838.717012,11560.89616
Australia,Canberra,South,East,4913.860856,14055.774080000001,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.026119999999,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
