NOC,Country,Place,Year,Discipline,Gender Cleaned,Event Cleaned
TCH,Czechoslovakia,Gold,1964,Artistic Gymnastics,Women,Balance Beam
TCH,Czechoslovakia,Gold,1964,Artistic Gymnastics,Women,Horse Vault
TCH,Czechoslovakia,Gold,1964,Artistic Gymnastics,Women,Individual All-Around
TCH,Czechoslovakia,Silver,1964,Artistic Gymnastics,Women,Team All-Around
TCH,Czechoslovakia,Silver,1964,Athletics,Men,"1,500 metres"
TCH,Czechoslovakia,Silver,1964,Athletics,Men,Discus Throw
TCH,Czechoslovakia,Gold,1964,Cycling Track,Men,"Individual Pursuit, 4,000 metres"
TCH,Czechoslovakia,Silver,1964,Football,Men,Football
TCH,Czechoslovakia,Bronze,1964,Rowing,Men,Double Sculls
TCH,Czechoslovakia,Bronze,1964,Rowing,Men,Eights
TCH,Czechoslovakia,Bronze,1964,Shooting,Men,"Rapid-Fire Pistol, 25 metres"
TCH,Czechoslovakia,Silver,1964,Volleyball,Men,Volleyball
TCH,Czechoslovakia,Gold,1964,Weightlifting,Men,Middleweight
TCH,Czechoslovakia,Silver,1964,Wrestling,Men,"Middleweight, Greco-Roman"
TCH,Czechoslovakia,Silver,1968,Artistic Athletics,Women,Balance Beam
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Floor Exercise
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Horse Vault
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Individual All-Around
TCH,Czechoslovakia,Silver,1968,Artistic Athletics,Women,Team All-Around
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Uneven Bars
TCH,Czechoslovakia,Bronze,1968,Athletics,Men,Discus Throw
TCH,Czechoslovakia,Gold,1968,Athletics,Women,High Jump
TCH,Czechoslovakia,Gold,1968,Diving,Women,Platform
TCH,Czechoslovakia,Gold,1968,Shooting,Open,"Small-Bore Rifle, Prone, 50 metres"
TCH,Czechoslovakia,Bronze,1968,Volleyball,Men,Volleyball
TCH,Czechoslovakia,Bronze,1968,Wrestling,Men,"Flyweight, Greco-Roman"
TCH,Czechoslovakia,Bronze,1968,Wrestling,Men,"Heavyweight, Greco-Roman"
TCH,Czechoslovakia,Gold,1972,Athletics,Men,Discus Throw
TCH,Czechoslovakia,Bronze,1972,Athletics,Women,Long Jump
