COU,Country,Year,Life Expectancy at Birth,Population
AUS,Australia,1964,70.7,11121600.0
AUS,Australia,1965,71.0,11340900.0
AUS,Australia,1966,70.8,11599498.0
AUS,Australia,1967,71.2,11799078.0
AUS,Australia,1968,70.9,12008635.0
AUS,Australia,1969,71.1,12263014.0
AUS,Australia,1970,70.8,12507349.0
AUS,Australia,1971,71.6,13067265.0
AUS,Australia,1972,72.0,13303664.0
AUS,Australia,1973,72.1,13504538.0
AUS,Australia,1974,71.9,13722571.0
AUS,Australia,1975,72.7,13892995.0
AUS,Australia,1976,72.8,14033083.0
AUS,Australia,1977,73.4,14192234.0
AUS,Australia,1978,73.7,14359255.0
AUS,Australia,1979,74.3,14515729.0
AUS,Australia,1980,74.6,14695356.0
AUS,Australia,1981,74.9,14923260.0
AUS,Australia,1982,74.7,15184247.0
AUS,Australia,1983,75.5,15393472.0
AUS,Australia,1984,75.8,15579391.0
AUS,Australia,1985,75.6,15788312.0
AUS,Australia,1986,76.1,16018350.0
AUS,Australia,1987,76.3,16263874.0
AUS,Australia,1988,76.3,16532164.0
AUS,Australia,1989,76.5,16814416.0
AUS,Australia,1990,77.0,17065128.0
AUS,Australia,1991,77.4,17284036.0
AUS,Australia,1992,77.5,17478635.0
AUS,Australia,1993,78.0,17634808.0
AUS,Australia,1994,78.0,17805468.0
AUS,Australia,1995,77.9,18004882.0
AUS,Australia,1996,78.2,18224767.0
AUS,Australia,1997,78.5,18423037.0
AUS,Australia,1998,78.7,18607584.0
AUS,Australia,1999,79.0,18812264.0
AUS,Australia,2000,79.3,19028802.0
AUS,Australia,2001,79.7,19274701.0
AUS,Australia,2002,80.0,19495210.0
AUS,Australia,2003,80.3,19720737.0
AUS,Australia,2004,80.6,19932722.0
AUS,Australia,2005,80.9,20176844.0
AUS,Australia,2006,81.1,20450966.0
AUS,Australia,2007,81.4,20827622.0
AUS,Australia,2008,81.5,21249199.0
AUS,Australia,2009,81.6,21691653.0
AUS,Australia,2010,81.8,22031750.0
AUS,Australia,2011,82.0,22340024.0
AUS,Australia,2012,82.1,22733465.0
AUS,Australia,2013,82.2,23128129.0
AUS,Australia,2014,82.4,23475686.0
AUS,Australia,2015,82.5,23815995.0
AUS,Australia,2016,82.5,24190907.0
AUS,Australia,2017,82.6,24601860.0
AUS,Australia,2018,82.8,24992860.0
AUT,Austria,1964,70.0,7223801.0
AUT,Austria,1965,69.8,7270889.0
AUT,Austria,1966,70.2,7322066.0
AUT,Austria,1967,70.0,7376998.0
AUT,Austria,1968,70.2,7415403.0
AUT,Austria,1969,69.9,7441055.0
AUT,Austria,1970,70.0,7467086.0
AUT,Austria,1971,70.2,7500482.0
AUT,Austria,1972,70.6,7544201.0
AUT,Austria,1973,71.1,7586115.0
AUT,Austria,1974,71.1,7599038.0
AUT,Austria,1975,71.2,7578903.0
AUT,Austria,1976,71.7,7565525.0
AUT,Austria,1977,72.0,7568430.0
AUT,Austria,1978,72.1,7562305.0
AUT,Austria,1979,72.4,7549425.0
AUT,Austria,1980,72.6,7549433.0
AUT,Austria,1981,72.9,7568710.0
AUT,Austria,1982,73.1,7574140.0
AUT,Austria,1983,73.1,7561910.0
AUT,Austria,1984,73.7,7561434.0
AUT,Austria,1985,73.9,7564984.0
AUT,Austria,1986,74.4,7569794.0
AUT,Austria,1987,74.9,7574586.0
AUT,Austria,1988,75.3,7585317.0
AUT,Austria,1989,75.4,7619566.0
AUT,Austria,1990,75.7,7677850.0
AUT,Austria,1991,75.7,7754891.0
AUT,Austria,1992,75.9,7840709.0
AUT,Austria,1993,76.2,7905632.0
AUT,Austria,1994,76.5,7936118.0
AUT,Austria,1995,76.8,7948278.0
AUT,Austria,1996,77.0,7959016.0
AUT,Austria,1997,77.4,7968041.0
AUT,Austria,1998,77.8,7976789.0
AUT,Austria,1999,78.0,7992323.0
AUT,Austria,2000,78.2,8011566.0
AUT,Austria,2001,78.7,8042293.0
AUT,Austria,2002,78.8,8082121.0
AUT,Austria,2003,78.7,8118245.0
AUT,Austria,2004,79.3,8169441.0
AUT,Austria,2005,79.4,8225278.0
AUT,Austria,2006,80.0,8267948.0
AUT,Austria,2007,80.3,8295189.0
AUT,Austria,2008,80.5,8321541.0
AUT,Austria,2009,80.4,8341483.0
AUT,Austria,2010,80.7,8361069.0
AUT,Austria,2011,81.1,8388534.0
AUT,Austria,2012,81.0,8426311.0
AUT,Austria,2013,81.2,8477230.0
AUT,Austria,2014,81.6,8543932.0
AUT,Austria,2015,81.3,8629519.0
AUT,Austria,2016,81.7,8739806.0
AUT,Austria,2017,81.7,8795073.0
AUT,Austria,2018,81.8,8837707.0
BEL,Belgium,1964,70.9,9378114.0
BEL,Belgium,1965,70.7,9463668.0
BEL,Belgium,1966,70.8,9527808.0
BEL,Belgium,1967,71.1,9580991.0
BEL,Belgium,1968,70.8,9618756.0
BEL,Belgium,1969,70.9,9646033.0
BEL,Belgium,1970,71.1,9655550.0
BEL,Belgium,1971,71.2,9673162.0
BEL,Belgium,1972,71.5,9711115.0
BEL,Belgium,1973,71.7,9741721.0
BEL,Belgium,1974,72.1,9772420.0
BEL,Belgium,1975,72.1,9800700.0
BEL,Belgium,1976,72.2,9818228.0
BEL,Belgium,1977,72.9,9830358.0
BEL,Belgium,1978,72.8,9839534.0
BEL,Belgium,1979,73.3,9848382.0
BEL,Belgium,1980,73.3,9859243.0
BEL,Belgium,1981,73.7,9858982.0
BEL,Belgium,1982,74.0,9856303.0
BEL,Belgium,1983,74.0,9855521.0
BEL,Belgium,1984,74.5,9855372.0
BEL,Belgium,1985,74.6,9858309.0
BEL,Belgium,1986,74.8,9861824.0
BEL,Belgium,1987,75.5,9870234.0
BEL,Belgium,1988,75.7,9901665.0
BEL,Belgium,1989,75.7,9937697.0
BEL,Belgium,1990,76.1,9967378.0
BEL,Belgium,1991,76.3,10004486.0
BEL,Belgium,1992,76.5,10045165.0
BEL,Belgium,1993,76.5,10084479.0
BEL,Belgium,1994,76.8,10115601.0
BEL,Belgium,1995,77.0,10136814.0
BEL,Belgium,1996,77.3,10156641.0
BEL,Belgium,1997,77.5,10181246.0
BEL,Belgium,1998,77.6,10203012.0
BEL,Belgium,1999,77.7,10226419.0
BEL,Belgium,2000,77.8,10251247.0
BEL,Belgium,2001,78.1,10286571.0
BEL,Belgium,2002,78.2,10332783.0
BEL,Belgium,2003,78.2,10376130.0
BEL,Belgium,2004,79.0,10421133.0
BEL,Belgium,2005,79.1,10478617.0
BEL,Belgium,2006,79.5,10547956.0
BEL,Belgium,2007,79.9,10625701.0
BEL,Belgium,2008,79.8,10709976.0
BEL,Belgium,2009,80.1,10796498.0
BEL,Belgium,2010,80.3,10895589.0
BEL,Belgium,2011,80.7,10993616.0
BEL,Belgium,2012,80.5,11067748.0
BEL,Belgium,2013,80.7,11125033.0
BEL,Belgium,2014,81.4,11179778.0
BEL,Belgium,2015,81.1,11238474.0
BEL,Belgium,2016,81.5,11295003.0
BEL,Belgium,2017,81.6,11349081.0
BEL,Belgium,2018,81.7,11403740.0
,Canada,1964,65.31290322580645,19719595.0
,Canada,1965,65.55161290322582,20084314.0
CAN,Canada,1966,72.0,20420867.0
,Canada,1967,66.396875,20795138.0
,Canada,1968,66.66363636363637,21129417.0
,Canada,1969,66.69687499999998,21439830.0
,Canada,1970,67.49743589743589,21746497.0
CAN,Canada,1971,72.9,21962032.0
,Canada,1972,67.98648648648648,22218463.0
,Canada,1973,68.22972972972973,22491777.0
,Canada,1974,68.62894736842104,22807969.0
,Canada,1975,68.99487179487178,23143275.0
CAN,Canada,1976,73.9,23449808.0
,Canada,1977,69.72051282051282,23725843.0
,Canada,1978,69.96000000000001,23963203.0
CAN,Canada,1979,75.1,24201544.0
CAN,Canada,1980,75.3,24515667.0
CAN,Canada,1981,75.5,24819915.0
CAN,Canada,1982,75.6,25116942.0
CAN,Canada,1983,75.9,25366451.0
