COU,Country,Year,Life Expectancy at Birth,Population
AUS,Australia,1964,70.7,11121600
AUS,Australia,1965,71,11340900
AUS,Australia,1966,70.8,11599498
AUS,Australia,1967,71.2,11799078
AUS,Australia,1968,70.9,12008635
AUS,Australia,1969,71.1,12263014
AUS,Australia,1970,70.8,12507349
AUS,Australia,1971,71.6,13067265
AUS,Australia,1972,72,13303664
AUS,Australia,1973,72.1,13504538
AUS,Australia,1974,71.9,13722571
AUS,Australia,1975,72.7,13892995
AUS,Australia,1976,72.8,14033083
AUS,Australia,1977,73.4,14192234
AUS,Australia,1978,73.7,14359255
AUS,Australia,1979,74.3,14515729
AUS,Australia,1980,74.6,14695356
AUS,Australia,1981,74.9,14923260
AUS,Australia,1982,74.7,15184247
AUS,Australia,1983,75.5,15393472
AUS,Australia,1984,75.8,15579391
AUS,Australia,1985,75.6,15788312
AUS,Australia,1986,76.1,16018350
AUS,Australia,1987,76.3,16263874
AUS,Australia,1988,76.3,16532164
AUS,Australia,1989,76.5,16814416
AUS,Australia,1990,77,17065128
AUS,Australia,1991,77.4,17284036
AUS,Australia,1992,77.5,17478635
AUS,Australia,1993,78,17634808
AUS,Australia,1994,78,17805468
AUS,Australia,1995,77.9,18004882
AUS,Australia,1996,78.2,18224767
AUS,Australia,1997,78.5,18423037
AUS,Australia,1998,78.7,18607584
AUS,Australia,1999,79,18812264
AUS,Australia,2000,79.3,19028802
AUS,Australia,2001,79.7,19274701
AUS,Australia,2002,80,19495210
AUS,Australia,2003,80.3,19720737
AUS,Australia,2004,80.6,19932722
AUS,Australia,2005,80.9,20176844
AUS,Australia,2006,81.1,20450966
AUS,Australia,2007,81.4,20827622
AUS,Australia,2008,81.5,21249199
AUS,Australia,2009,81.6,21691653
AUS,Australia,2010,81.8,22031750
AUS,Australia,2011,82,22340024
AUS,Australia,2012,82.1,22733465
AUS,Australia,2013,82.2,23128129
AUS,Australia,2014,82.4,23475686
AUS,Australia,2015,82.5,23815995
AUS,Australia,2016,82.5,24190907
AUS,Australia,2017,82.6,24601860
AUS,Australia,2018,82.8,24992860
AUT,Austria,1964,70,7223801
AUT,Austria,1965,69.8,7270889
AUT,Austria,1966,70.2,7322066
AUT,Austria,1967,70,7376998
AUT,Austria,1968,70.2,7415403
AUT,Austria,1969,69.9,7441055
AUT,Austria,1970,70,7467086
AUT,Austria,1971,70.2,7500482
AUT,Austria,1972,70.6,7544201
AUT,Austria,1973,71.1,7586115
AUT,Austria,1974,71.1,7599038
AUT,Austria,1975,71.2,7578903
AUT,Austria,1976,71.7,7565525
AUT,Austria,1977,72,7568430
AUT,Austria,1978,72.1,7562305
AUT,Austria,1979,72.4,7549425
AUT,Austria,1980,72.6,7549433
AUT,Austria,1981,72.9,7568710
AUT,Austria,1982,73.1,7574140
AUT,Austria,1983,73.1,7561910
AUT,Austria,1984,73.7,7561434
AUT,Austria,1985,73.9,7564984
AUT,Austria,1986,74.4,7569794
AUT,Austria,1987,74.9,7574586
AUT,Austria,1988,75.3,7585317
AUT,Austria,1989,75.4,7619566
AUT,Austria,1990,75.7,7677850
AUT,Austria,1991,75.7,7754891
AUT,Austria,1992,75.9,7840709
AUT,Austria,1993,76.2,7905632
AUT,Austria,1994,76.5,7936118
AUT,Austria,1995,76.8,7948278
AUT,Austria,1996,77,7959016
AUT,Austria,1997,77.4,7968041
AUT,Austria,1998,77.8,7976789
AUT,Austria,1999,78,7992323
AUT,Austria,2000,78.2,8011566
AUT,Austria,2001,78.7,8042293
AUT,Austria,2002,78.8,8082121
AUT,Austria,2003,78.7,8118245
AUT,Austria,2004,79.3,8169441
AUT,Austria,2005,79.4,8225278
AUT,Austria,2006,80,8267948
