Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) ,COU,Life Expectancy at Birth,Population
Netherlands,NLD,2,4,4,10,1964,Tokyo,JPN,18699380731,NLD,73.8,12127116.0
Bulgaria,BGR,3,5,2,10,1964,Tokyo,JPN, $-   ,,,8144340.0
Pakistan,PAK,0,1,0,1,1964,Tokyo,JPN,5204955901,,,
Brazil,BRA,0,0,1,1,1964,Tokyo,JPN,21211892260,BRA,56.2,81168654.0
Italy,ITA,10,10,7,27,1964,Tokyo,JPN,63175417019,,,51675294.0
Sweden,SWE,2,2,4,8,1964,Tokyo,JPN,22532416750,SWE,73.8,7661351.0
Uruguay,URY,0,0,1,1,1964,Tokyo,JPN,1975701816,,,
Ireland,IRL,0,0,1,1,1964,Tokyo,JPN,2766608946,,,2863800.0
Japan,JPN,16,5,8,29,1964,Tokyo,JPN,81749006382,JPN,70.3,98110000.0
Iran,IRN,0,0,2,2,1964,Tokyo,JPN,5379845648,,,
Cuba,CUB,0,1,0,1,1964,Tokyo,JPN, $-   ,,,
Switzerland,CHE,1,2,1,4,1964,Tokyo,JPN,14480556572,CHE,72.2,5789228.0
India,IND,1,0,0,1,1964,Tokyo,JPN,56480289941,IND,43.9,487484535.0
Kenya,KEN,0,0,1,1,1964,Tokyo,JPN,998759333.6,,,
Philippines,PHL,0,1,0,1,1964,Tokyo,JPN,5271404668,,,
Hungary,HUN,10,7,5,22,1964,Tokyo,JPN, $-   ,HUN,69.5,10119834.0
United States,USA,36,26,28,90,1964,Tokyo,JPN,6.858E+11,USA,70.3,191888791.0
Romania,ROU,2,4,6,12,1964,Tokyo,JPN, $-   ,,,19207135.0
Yugoslavia,YUG,2,1,2,5,1964,Tokyo,JPN,,,,
Ghana,GHA,0,0,1,1,1964,Tokyo,JPN,1731296119,,,
Argentina,ARG,0,1,0,1,1964,Tokyo,JPN,25605249382,,,21949246.0
New Zealand,NZL,3,0,2,5,1964,Tokyo,JPN,7274144351,NZL,71.2,2591965.0
Czech Republic,CZE,5,6,3,14,1964,Tokyo,JPN, $-   ,CZE,70.7,9730019.0
Australia,AUS,6,2,10,18,1964,Tokyo,JPN,23764139321,AUS,70.7,11121600.0
Russia,RUS,30,31,35,96,1964,Tokyo,JPN, $-   ,RUS,67.7,125412625.0
Germany,DEU,10,22,18,50,1964,Tokyo,JPN, $-   ,DEU,70.6,75318338.0
Poland,POL,7,6,10,23,1964,Tokyo,JPN, $-   ,POL,68.7,31161200.0
South Korea,KOR,0,2,1,3,1964,Tokyo,JPN,3458939358,,,
France,FRA,1,8,6,15,1964,Tokyo,JPN,94007851047,FRA,71.4,48310410.0
Mexico,MEX,0,0,1,1,1964,Tokyo,JPN,20080000000,MEX,59.9,41970377.0
Finland,FIN,3,0,2,5,1964,Tokyo,JPN,7766655086,,,4548545.0
Canada,CAN,1,2,1,4,1964,Tokyo,JPN,49377522897,,,19719595.0
Trinidad and Tobago,TTO,0,1,2,3,1964,Tokyo,JPN,711893367.6,,,
England,GBR,4,12,2,18,1964,Tokyo,JPN,94407558351,,,
Nigeria,NGA,0,0,1,1,1964,Tokyo,JPN,5552822484,,,
Turkey,TUR,2,3,1,6,1964,Tokyo,JPN,11177777778,TUR,51.0,30391000.0
Tunisia,TUN,0,1,1,2,1964,Tokyo,JPN, $-   ,,,
Denmark,DNK,2,1,3,6,1964,Tokyo,JPN, $-   ,,,4722074.0
Ethiopia,ETH,1,0,0,1,1964,Tokyo,JPN, $-   ,,,
Belgium,BEL,2,0,1,3,1964,Tokyo,JPN,15960106681,BEL,70.9,9378114.0
Bahamas,BHS,1,0,0,1,1964,Tokyo,JPN,266666666.7,,,
Czech Republic,CZE,7,2,4,13,1968,Mexico City,MEX, $-   ,CZE,70.1,9877632.0
France,FRA,7,3,5,15,1968,Mexico City,MEX,1.29785E+11,FRA,71.5,49915403.0
Mexico,MEX,3,3,3,9,1968,Mexico City,MEX,29360000000,MEX,61.3,47720198.0
Finland,FIN,1,2,1,4,1968,Mexico City,MEX,8823033880,FIN,69.8,4626471.0
Mongolia,MNG,0,1,3,4,1968,Mexico City,MEX, $-   ,,,
Tunisia,TUN,1,0,1,2,1968,Mexico City,MEX,1214666667,,,
Turkey,TUR,2,0,0,2,1968,Mexico City,MEX,17500000000,TUR,53.4,33586000.0
Denmark,DNK,1,4,3,8,1968,Mexico City,MEX,13505573867,DNK,73.0,4864879.0
Netherlands,NLD,3,3,1,7,1968,Mexico City,MEX,27817605743,NLD,73.7,12729717.0
Germany,DEU,9,9,7,25,1968,Mexico City,MEX, $-   ,DEU,70.5,77294310.0
Poland,POL,5,2,11,18,1968,Mexico City,MEX, $-   ,POL,70.3,32304800.0
Romania,ROU,4,6,5,15,1968,Mexico City,MEX, $-   ,,,19799831.0
Venezuela,VEN,1,0,0,1,1968,Mexico City,MEX,10034444444,,,
Argentina,ARG,0,0,2,2,1968,Mexico City,MEX,26436857247,,,23260684.0
Russia,RUS,29,32,30,91,1968,Mexico City,MEX, $-   ,RUS,68.0,128836021.0
Belgium,BEL,0,1,1,2,1968,Mexico City,MEX,21376353113,BEL,70.8,9618756.0
Australia,AUS,5,7,5,17,1968,Mexico City,MEX,32665472057,AUS,70.9,12008635.0
Austria,AUT,0,2,2,4,1968,Mexico City,MEX,12440625313,AUT,70.2,7415403.0
Yugoslavia,YUG,3,3,2,8,1968,Mexico City,MEX,,,,
South Korea,KOR,0,1,1,2,1968,Mexico City,MEX,6119284294,,,
Pakistan,PAK,1,0,0,1,1968,Mexico City,MEX,8041999160,,,
Germany,DEU,5,11,10,26,1968,Mexico City,MEX, $-   ,DEU,70.5,77294310.0
Sweden,SWE,2,1,1,4,1968,Mexico City,MEX,31066819929,SWE,74.1,7911980.0
Greece,GRC,0,0,1,1,1968,Mexico City,MEX,10090675903,GRC,72.4,8740765.0
Cuba,CUB,0,4,0,4,1968,Mexico City,MEX, $-   ,,,
England,GBR,5,5,3,13,1968,Mexico City,MEX,1.0776E+11,,,
Cameroon,CMR,0,1,0,1,1968,Mexico City,MEX,1046191192,,,
Bulgaria,BGR,2,4,3,9,1968,Mexico City,MEX, $-   ,,,8369603.0
Brazil,BRA,0,1,2,3,1968,Mexico City,MEX,33875881876,BRA,58.1,90557064.0
United States,USA,45,28,34,107,1968,Mexico City,MEX,9.425E+11,USA,70.4,200706052.0
New Zealand,NZL,1,0,2,3,1968,Mexico City,MEX,5180597621,NZL,71.4,2758885.0
Canada,CAN,1,3,1,5,1968,Mexico City,MEX,71829810520,,,21129417.0
Norway,NOR,1,1,0,2,1968,Mexico City,MEX,10159934137,NOR,74.2,3816488.0
Ethiopia,ETH,1,1,0,2,1968,Mexico City,MEX, $-   ,,,
Chinese Taipei,TPE,0,0,1,1,1968,Mexico City,MEX,,,,
Jamaica,JAM,0,1,0,1,1968,Mexico City,MEX,1083883355,,,
Italy,ITA,3,4,9,16,1968,Mexico City,MEX,87942231678,,,53235691.0
Japan,JPN,11,7,7,25,1968,Mexico City,MEX,1.46601E+11,JPN,71.7,102287000.0
Iran,IRN,2,1,2,5,1968,Mexico City,MEX,8623172960,,,
Switzerland,CHE,0,1,4,5,1968,Mexico City,MEX,18942729779,CHE,72.7,6067714.0
India,IND,0,0,1,1,1968,Mexico City,MEX,53085455871,IND,46.4,529967317.0
Hungary,HUN,10,10,12,32,1968,Mexico City,MEX, $-   ,HUN,69.3,10255807.0
Uganda,UGA,0,1,1,2,1968,Mexico City,MEX,1037815126,,,
Kenya,KEN,3,4,2,9,1968,Mexico City,MEX,1353295458,,,
Pakistan,PAK,0,1,0,1,1972,Munich,DEU,9415016360,,,
Germany,DEU,20,23,23,66,1972,Munich,DEU,2.99802E+11,DEU,71.0,78688450.0
Uganda,UGA,1,1,0,2,1972,Munich,DEU,1491596639,,,
Norway,NOR,2,1,1,4,1972,Munich,DEU,17358610850,NOR,74.6,3933001.0
Turkey,TUR,0,1,0,1,1972,Munich,DEU,20431095406,TUR,55.0,37133000.0
Yugoslavia,YUG,2,1,2,5,1972,Munich,DEU,,,,
Niger,NER,0,0,1,1,1972,Munich,DEU,742779740.4,,,
United States,USA,33,31,30,94,1972,Munich,DEU,1.27911E+12,USA,71.3,209896021.0
Ghana,GHA,0,0,1,1,1972,Munich,DEU,2112292945,,,
