Year,Country Code,Life Expectancy
1964,ABW,67.113
1965,ABW,67.435
1966,ABW,67.762
1967,ABW,68.095
1968,ABW,68.436
1969,ABW,68.784
1970,ABW,69.14
1971,ABW,69.498
1972,ABW,69.851
1973,ABW,70.191
1974,ABW,70.519
1975,ABW,70.833
1976,ABW,71.14
1977,ABW,71.441
1978,ABW,71.736
1979,ABW,72.023
1980,ABW,72.293
1981,ABW,72.538
1982,ABW,72.751
1983,ABW,72.929
1984,ABW,73.071
1985,ABW,73.181
1986,ABW,73.262
1987,ABW,73.325
1988,ABW,73.378
1989,ABW,73.425
1990,ABW,73.468
1991,ABW,73.509
1992,ABW,73.544
1993,ABW,73.573
1994,ABW,73.598
1995,ABW,73.622
1996,ABW,73.646
1997,ABW,73.671
1998,ABW,73.7
1999,ABW,73.738
2000,ABW,73.787
2001,ABW,73.853
2002,ABW,73.937
2003,ABW,74.038
2004,ABW,74.156
2005,ABW,74.287
2006,ABW,74.429
2007,ABW,74.576
2008,ABW,74.725
2009,ABW,74.872
2010,ABW,75.017
2011,ABW,75.158
2012,ABW,75.299
2013,ABW,75.441
2014,ABW,75.583
2015,ABW,75.725
2016,ABW,75.868
1964,AFE,44.43272097
1965,AFE,44.82691851
1966,AFE,45.21304771
1967,AFE,45.59429412
1968,AFE,45.97405884
1969,AFE,46.3523989
1970,AFE,46.72879651
1971,AFE,47.10286632
1972,AFE,47.47116843
1973,AFE,47.8294031
1974,AFE,48.17499866
1975,AFE,48.5033109
1976,AFE,48.81083653
1977,AFE,49.09784958
1978,AFE,49.36632757
1979,AFE,49.6199972
1980,AFE,49.87069254
1981,AFE,50.11588584
1982,AFE,50.36345641
1983,AFE,50.61038491
1984,AFE,50.84833478
1985,AFE,51.05805709
1986,AFE,51.21428085
1987,AFE,51.29978085
1988,AFE,51.30859548
1989,AFE,51.25176311
1990,AFE,51.1541131
1991,AFE,51.04841383
1992,AFE,50.95726212
1993,AFE,50.8902461
1994,AFE,50.84186496
1995,AFE,50.8084844
1996,AFE,50.79615697
1997,AFE,50.82061357
1998,AFE,50.89760718
1999,AFE,51.04419133
2000,AFE,51.27612888
2001,AFE,51.60645828
2002,AFE,52.04314928
2003,AFE,52.5858534
2004,AFE,53.22891347
2005,AFE,53.96655013
2006,AFE,54.79170665
2007,AFE,55.6823435
2008,AFE,56.60979892
2009,AFE,57.54877186
2010,AFE,58.47069668
2011,AFE,59.35359492
2012,AFE,60.18556105
2013,AFE,60.95336296
2014,AFE,61.64736659
2015,AFE,62.25928837
2016,AFE,62.78768149
1964,AFG,34.463
1965,AFG,34.948
1966,AFG,35.43
1967,AFG,35.914
1968,AFG,36.403
1969,AFG,36.9
1970,AFG,37.409
1971,AFG,37.93
1972,AFG,38.461
1973,AFG,39.003
1974,AFG,39.558
1975,AFG,40.128
1976,AFG,40.715
1977,AFG,41.32
1978,AFG,41.944
1979,AFG,42.585
1980,AFG,43.244
1981,AFG,43.923
1982,AFG,44.617
1983,AFG,45.324
1984,AFG,46.04
1985,AFG,46.761
1986,AFG,47.486
1987,AFG,48.211
1988,AFG,48.93
1989,AFG,49.64
1990,AFG,50.331
1991,AFG,50.999
1992,AFG,51.641
1993,AFG,52.256
1994,AFG,52.842
1995,AFG,53.398
1996,AFG,53.924
1997,AFG,54.424
1998,AFG,54.906
1999,AFG,55.376
2000,AFG,55.841
2001,AFG,56.308
2002,AFG,56.784
2003,AFG,57.271
2004,AFG,57.772
2005,AFG,58.29
2006,AFG,58.826
2007,AFG,59.375
2008,AFG,59.93
2009,AFG,60.484
2010,AFG,61.028
2011,AFG,61.553
2012,AFG,62.054
2013,AFG,62.525
2014,AFG,62.966
2015,AFG,63.377
2016,AFG,63.763
1964,AFW,38.86707273
1965,AFW,39.26484102
1966,AFW,39.66276168
1967,AFW,40.06640763
1968,AFW,40.48283204
1969,AFW,40.91421502
1970,AFW,41.36511663
1971,AFW,41.83721354
1972,AFW,42.32704272
1973,AFW,42.82907706
1974,AFW,43.33921927
1975,AFW,43.85504197
1976,AFW,44.37396611
1977,AFW,44.89222647
1978,AFW,45.40268058
1979,AFW,45.89747528
1980,AFW,46.36610371
1981,AFW,46.79829219
1982,AFW,47.18861757
1983,AFW,47.53398545
1984,AFW,47.83053649
1985,AFW,48.0793809
1986,AFW,48.28458085
1987,AFW,48.45412783
1988,AFW,48.59742098
1989,AFW,48.71923081
1990,AFW,48.8169994
1991,AFW,48.88593428
1992,AFW,48.92341607
1993,AFW,48.93370775
1994,AFW,48.92550535
1995,AFW,48.90993678
1996,AFW,48.89987529
1997,AFW,48.90912995
1998,AFW,48.95533902
1999,AFW,49.05263892
2000,AFW,49.21971381
2001,AFW,49.4751356
2002,AFW,49.81692863
2003,AFW,50.23943237
2004,AFW,50.73341665
2005,AFW,51.28348666
2006,AFW,51.86820257
2007,AFW,52.46395756
2008,AFW,53.0495004
2009,AFW,53.61208951
2010,AFW,54.14430671
2011,AFW,54.64999813
2012,AFW,55.13894432
2013,AFW,55.61898641
2014,AFW,56.08826904
2015,AFW,56.54200914
2016,AFW,56.97476115
1964,AGO,38.76
1965,AGO,39.102
1966,AGO,39.454
1967,AGO,39.813
1968,AGO,40.178
1969,AGO,40.546
1970,AGO,40.914
1971,AGO,41.282
1972,AGO,41.65
1973,AGO,42.016
1974,AGO,42.374
1975,AGO,42.721
1976,AGO,43.053
1977,AGO,43.367
1978,AGO,43.66
1979,AGO,43.931
1980,AGO,44.178
1981,AGO,44.404
1982,AGO,44.611
1983,AGO,44.799
1984,AGO,44.966
1985,AGO,45.107
1986,AGO,45.213
1987,AGO,45.283
1988,AGO,45.317
1989,AGO,45.324
1990,AGO,45.306
1991,AGO,45.271
1992,AGO,45.23
1993,AGO,45.201
1994,AGO,45.201
1995,AGO,45.246
1996,AGO,45.35
1997,AGO,45.519
1998,AGO,45.763
1999,AGO,46.093
2000,AGO,46.522
2001,AGO,47.059
2002,AGO,47.702
2003,AGO,48.44
2004,AGO,49.263
2005,AGO,50.165
2006,AGO,51.143
2007,AGO,52.177
2008,AGO,53.243
2009,AGO,54.311
2010,AGO,55.35
2011,AGO,56.33
2012,AGO,57.236
2013,AGO,58.054
2014,AGO,58.776
2015,AGO,59.398
2016,AGO,59.925
1964,ALB,65.463
1965,ALB,65.85
1966,ALB,66.11
1967,ALB,66.304
1968,ALB,66.487
1969,ALB,66.689
1970,ALB,66.935
1971,ALB,67.237
1972,ALB,67.582
1973,ALB,67.953
1974,ALB,68.343
1975,ALB,68.736
1976,ALB,69.11
1977,ALB,69.448
1978,ALB,69.742
1979,ALB,69.991
1980,ALB,70.208
1981,ALB,70.416
1982,ALB,70.635
1983,ALB,70.876
1984,ALB,71.134
1985,ALB,71.388
1986,ALB,71.605
1987,ALB,71.76
1988,ALB,71.843
1989,ALB,71.86
1990,ALB,71.836
1991,ALB,71.803
1992,ALB,71.802
1993,ALB,71.86
1994,ALB,71.992
1995,ALB,72.205
1996,ALB,72.495
1997,ALB,72.838
1998,ALB,73.208
1999,ALB,73.587
2000,ALB,73.955
2001,ALB,74.288
2002,ALB,74.579
2003,ALB,74.828
2004,ALB,75.039
2005,ALB,75.228
2006,ALB,75.423
2007,ALB,75.646
2008,ALB,75.912
2009,ALB,76.221
2010,ALB,76.562
2011,ALB,76.914
2012,ALB,77.252
2013,ALB,77.554
2014,ALB,77.813
2015,ALB,78.025
2016,ALB,78.194
1964,AND,
1965,AND,
1966,AND,
1967,AND,
1968,AND,
1969,AND,
1970,AND,
1971,AND,
1972,AND,
1973,AND,
1974,AND,
1975,AND,
1976,AND,
1977,AND,
1978,AND,
1979,AND,
1980,AND,
1981,AND,
1982,AND,
1983,AND,
1984,AND,
1985,AND,
1986,AND,
1987,AND,
1988,AND,
1989,AND,
1990,AND,
1991,AND,
1992,AND,
1993,AND,
1994,AND,
1995,AND,
1996,AND,
1997,AND,
1998,AND,
1999,AND,
2000,AND,
2001,AND,
2002,AND,
2003,AND,
2004,AND,
2005,AND,
2006,AND,
2007,AND,
2008,AND,
2009,AND,
2010,AND,
2011,AND,
2012,AND,
2013,AND,
2014,AND,
2015,AND,
2016,AND,
1964,ARB,48.9100192
1965,ARB,49.49647723
1966,ARB,50.07294888
1967,ARB,50.63441245
1968,ARB,51.18209934
1969,ARB,51.72202261
1970,ARB,52.26421092
1971,ARB,52.82293228
1972,ARB,53.40688649
1973,ARB,54.01585517
1974,ARB,54.64286724
1975,ARB,55.27798768
1976,ARB,55.90961164
1977,ARB,56.5280755
1978,ARB,57.13389799
1979,ARB,57.73485934
1980,ARB,58.34502231
1981,ARB,58.97735807
1982,ARB,59.63599752
1983,ARB,60.31627737
1984,ARB,61.0037621
1985,ARB,61.67681626
1986,ARB,62.31411961
1987,ARB,62.90134697
1988,ARB,63.4296881
1989,ARB,63.89897996
1990,ARB,64.35157729
1991,ARB,64.73634052
1992,ARB,65.04385274
1993,ARB,65.41490707
1994,ARB,65.78565317
1995,ARB,66.19610005
1996,ARB,66.554103
1997,ARB,66.89714478
1998,ARB,67.21809146
1999,ARB,67.517689
2000,ARB,67.80059145
