Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Netherlands,NLD,2,4,4,10,1964,Tokyo,JPN,18699380731.0,North,East,7464.868875,6100.454387,476.857991,4398.587044,1805.151258,6820.142453,6738.124602,759.0711687,5020.216004,9971.22218,1445.327934,6159.095349,257.7032749,5802.288098,7464.868875,12127120.0,73.70414634
Bulgaria,BGR,3,5,2,10,1964,Tokyo,JPN,,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752,8144340.0,71.12121951
Pakistan,PAK,0,1,0,1,1964,Tokyo,JPN,5204955901.0,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033,49627623.0,48.67
Brazil,BRA,0,0,1,1,1964,Tokyo,JPN,21211892260.0,South,West,10813.30687,3693.901245,5448.606277,4476.475126,6740.502771,5154.81836,10177.04931,4770.980821,3947.154167,10926.30828,5332.087331,9713.367679,5290.56266,566.3305179,10813.30687,81064572.0,56.121
Italy,ITA,10,10,7,27,1964,Tokyo,JPN,63175417019.0,North,East,6965.601489,6274.19585,457.0470028,4804.931403,1671.339599,7145.651673,6242.692758,552.6489258,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489,51675350.0,70.31170732
Sweden,SWE,2,2,4,8,1964,Tokyo,JPN,22532416750.0,North,East,6835.886355,6965.445894,840.4798442,5197.250774,1086.142946,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355,7661354.0,73.73317073
Uruguay,URY,0,0,1,1,1964,Tokyo,JPN,1975701816.0,South,West,11734.26513,4386.211284,6795.153662,5621.329047,8034.986908,5820.662567,11133.81897,6127.452466,4955.930116,11319.75547,6603.845289,10706.04101,6668.340597,1067.104609,11734.26513,2665383.0,68.455
Ireland,IRL,0,0,1,1,1964,Tokyo,JPN,2766608946.0,North,West,8052.048537,5591.358463,1029.328577,3827.483511,2380.123695,6261.276638,7325.311382,933.5597391,4477.958742,10484.38373,1943.408303,6746.474883,356.6840144,5627.79411,8052.048537,2866550.0,70.40129268
Japan,JPN,16,5,8,29,1964,Tokyo,JPN,81749006382.0,North,East,0.0,13085.252,7045.276098,11770.5309,5749.743872,14081.24317,726.745582,7516.740596,12233.30886,4840.279356,6345.328465,1307.919095,7703.968961,10769.55288,0.0,96903000.0,70.13243902
Iran,IRN,0,0,2,2,1964,Tokyo,JPN,5379845648.0,North,East,4823.938424,8287.941294,2339.062511,6961.793767,1576.846874,9257.380845,4107.946907,2713.733005,7409.591644,7254.599739,1527.219054,3554.869761,3011.220363,6543.354447,4823.938424,24307855.0,47.172
