Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Bulgaria,BGR,3,5,2,10,1964,Tokyo,JPN,,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752,8144340.0,71.12121951
Cuba,CUB,0,1,0,1,1964,Tokyo,JPN,,North,West,12145.25931,959.7442546,5405.504836,1589.019027,6900.018534,2107.325425,11438.33193,4777.760803,745.7027539,13337.29637,5856.225524,10893.17319,4892.460575,3823.071369,12145.25931,7793258.0,66.327
Hungary,HUN,10,7,5,22,1964,Tokyo,JPN,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10119835.0,69.38097561
Romania,ROU,2,4,6,12,1964,Tokyo,JPN,,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,18919126.0,67.65043902
Yugoslavia,YUG,2,1,2,5,1964,Tokyo,JPN,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,5,6,3,14,1964,Tokyo,JPN,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,9727804.0,70.4595122
Russia,RUS,30,31,35,96,1964,Tokyo,JPN,,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,125345000.0,67.5665122
Germany,DEU,10,22,18,50,1964,Tokyo,JPN,,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,75318337.0,70.01370732
Poland,POL,7,6,10,23,1964,Tokyo,JPN,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,31139450.0,68.62926829
Trinidad and Tobago,TTO,0,1,2,3,1964,Tokyo,JPN,711893367.6,,,,,,,,,,,,,,,,,,902620.0,63.663
Tunisia,TUN,0,1,1,2,1964,Tokyo,JPN,,North,East,7073.110304,6081.175102,807.160439,4719.165454,1980.343453,7009.948678,6355.139766,549.3528617,5163.187887,9106.520305,732.7093684,5796.335708,1165.784777,5026.626254,7073.110304,4461111.0,44.932
Denmark,DNK,2,1,3,6,1964,Tokyo,JPN,,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967,4722072.0,72.48512195
Ethiopia,ETH,1,0,0,1,1964,Tokyo,JPN,,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731,24397010.0,40.81
Czech Republic,CZE,7,2,4,13,1968,Mexico City,MEX,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,9876346.0,69.84073171
Mongolia,MNG,0,1,3,4,1968,Mexico City,MEX,,,,,,,,,,,,,,,,,,,1207104.0,54.285
Germany,DEU,9,9,7,25,1968,Mexico City,MEX,,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,77294314.0,70.46509756
Poland,POL,5,2,11,18,1968,Mexico City,MEX,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,32294655.0,70.2195122
Romania,ROU,4,6,5,15,1968,Mexico City,MEX,,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,19799831.0,67.6712439
Russia,RUS,29,32,30,91,1968,Mexico City,MEX,,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,128928000.0,67.87434146
Yugoslavia,YUG,3,3,2,8,1968,Mexico City,MEX,,,,,,,,,,,,,,,,,,,,
Germany,DEU,5,11,10,26,1968,Mexico City,MEX,,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,77294314.0,70.46509756
Cuba,CUB,0,4,0,4,1968,Mexico City,MEX,,North,West,12145.25931,959.7442546,5405.504836,1589.019027,6900.018534,2107.325425,11438.33193,4777.760803,745.7027539,13337.29637,5856.225524,10893.17319,4892.460575,3823.071369,12145.25931,8413549.0,68.744
