Year,Country Code,Population
1964,ABW,57029.0
1965,ABW,57357.0
1966,ABW,57702.0
1967,ABW,58044.0
1968,ABW,58377.0
1969,ABW,58734.0
1970,ABW,59070.0
1971,ABW,59442.0
1972,ABW,59849.0
1973,ABW,60236.0
1974,ABW,60527.0
1975,ABW,60653.0
1976,ABW,60586.0
1977,ABW,60366.0
1978,ABW,60102.0
1979,ABW,59972.0
1980,ABW,60097.0
1981,ABW,60561.0
1982,ABW,61341.0
1983,ABW,62213.0
1984,ABW,62826.0
1985,ABW,63024.0
1986,ABW,62645.0
1987,ABW,61838.0
1988,ABW,61072.0
1989,ABW,61033.0
1990,ABW,62152.0
1991,ABW,64623.0
1992,ABW,68240.0
1993,ABW,72495.0
1994,ABW,76705.0
1995,ABW,80324.0
1996,ABW,83211.0
1997,ABW,85450.0
1998,ABW,87280.0
1999,ABW,89009.0
2000,ABW,90866.0
2001,ABW,92892.0
2002,ABW,94992.0
2003,ABW,97016.0
2004,ABW,98744.0
2005,ABW,100028.0
2006,ABW,100830.0
2007,ABW,101226.0
2008,ABW,101362.0
2009,ABW,101452.0
2010,ABW,101665.0
2011,ABW,102050.0
2012,ABW,102565.0
2013,ABW,103165.0
2014,ABW,103776.0
2015,ABW,104339.0
2016,ABW,104865.0
1964,AFE,144920186.0
1965,AFE,148769974.0
1966,AFE,152752671.0
1967,AFE,156876454.0
1968,AFE,161156430.0
1969,AFE,165611760.0
1970,AFE,170257189.0
1971,AFE,175100167.0
1972,AFE,180141148.0
1973,AFE,185376550.0
1974,AFE,190800796.0
1975,AFE,196409937.0
1976,AFE,202205766.0
1977,AFE,208193045.0
1978,AFE,214368393.0
1979,AFE,220740384.0
1980,AFE,227305945.0
1981,AFE,234058404.0
1982,AFE,240999134.0
1983,AFE,248146290.0
1984,AFE,255530063.0
1985,AFE,263161451.0
1986,AFE,271050065.0
1987,AFE,279184536.0
1988,AFE,287524258.0
1989,AFE,296024639.0
1990,AFE,304648010.0
1991,AFE,313394693.0
1992,AFE,322270073.0
1993,AFE,331265579.0
1994,AFE,340379934.0
1995,AFE,349605660.0
1996,AFE,358953595.0
1997,AFE,368440591.0
1998,AFE,378098393.0
1999,AFE,387977990.0
2000,AFE,398113044.0
2001,AFE,408522129.0
2002,AFE,419223717.0
2003,AFE,430246635.0
2004,AFE,441630149.0
2005,AFE,453404076.0
2006,AFE,465581372.0
2007,AFE,478166911.0
2008,AFE,491173160.0
2009,AFE,504604672.0
2010,AFE,518468229.0
2011,AFE,532760424.0
2012,AFE,547482863.0
2013,AFE,562601578.0
2014,AFE,578075373.0
2015,AFE,593871847.0
2016,AFE,609978946.0
1964,AFG,9744772.0
1965,AFG,9956318.0
1966,AFG,10174840.0
1967,AFG,10399936.0
1968,AFG,10637064.0
1969,AFG,10893772.0
1970,AFG,11173654.0
1971,AFG,11475450.0
1972,AFG,11791222.0
1973,AFG,12108963.0
1974,AFG,12412960.0
1975,AFG,12689164.0
1976,AFG,12943093.0
1977,AFG,13171294.0
1978,AFG,13341199.0
1979,AFG,13411060.0
1980,AFG,13356500.0
1981,AFG,13171679.0
1982,AFG,12882518.0
1983,AFG,12537732.0
1984,AFG,12204306.0
1985,AFG,11938204.0
1986,AFG,11736177.0
1987,AFG,11604538.0
1988,AFG,11618008.0
1989,AFG,11868873.0
1990,AFG,12412311.0
1991,AFG,13299016.0
1992,AFG,14485543.0
1993,AFG,15816601.0
1994,AFG,17075728.0
1995,AFG,18110662.0
1996,AFG,18853444.0
1997,AFG,19357126.0
1998,AFG,19737770.0
1999,AFG,20170847.0
2000,AFG,20779957.0
2001,AFG,21606992.0
2002,AFG,22600774.0
2003,AFG,23680871.0
2004,AFG,24726689.0
2005,AFG,25654274.0
2006,AFG,26433058.0
2007,AFG,27100542.0
2008,AFG,27722281.0
2009,AFG,28394806.0
2010,AFG,29185511.0
2011,AFG,30117411.0
2012,AFG,31161378.0
2013,AFG,32269592.0
2014,AFG,33370804.0
2015,AFG,34413603.0
2016,AFG,35383028.0
1964,AFW,104953470.0
1965,AFW,107289875.0
1966,AFW,109701811.0
1967,AFW,112195950.0
1968,AFW,114781116.0
1969,AFW,117468741.0
1970,AFW,120269044.0
1971,AFW,123184308.0
1972,AFW,126218502.0
1973,AFW,129384954.0
1974,AFW,132699537.0
1975,AFW,136173544.0
1976,AFW,139813171.0
1977,AFW,143615715.0
1978,AFW,147571063.0
1979,AFW,151663853.0
1980,AFW,155882270.0
1981,AFW,160223588.0
1982,AFW,164689764.0
1983,AFW,169279422.0
1984,AFW,173991851.0
1985,AFW,178826553.0
1986,AFW,183785612.0
1987,AFW,188868567.0
1988,AFW,194070079.0
1989,AFW,199382783.0
1990,AFW,204803865.0
1991,AFW,210332267.0
1992,AFW,215976366.0
1993,AFW,221754806.0
1994,AFW,227692136.0
1995,AFW,233807627.0
1996,AFW,240114179.0
1997,AFW,246613750.0
1998,AFW,253302310.0
1999,AFW,260170348.0
2000,AFW,267214544.0
2001,AFW,274433894.0
2002,AFW,281842480.0
2003,AFW,289469530.0
2004,AFW,297353098.0
2005,AFW,305520588.0
2006,AFW,313985474.0
2007,AFW,322741656.0
2008,AFW,331772330.0
2009,AFW,341050537.0
2010,AFW,350556886.0
2011,AFW,360285439.0
2012,AFW,370243017.0
2013,AFW,380437896.0
2014,AFW,390882979.0
2015,AFW,401586651.0
2016,AFW,412551299.0
1964,AGO,5734995.0
1965,AGO,5770573.0
1966,AGO,5781305.0
1967,AGO,5774440.0
1968,AGO,5771973.0
1969,AGO,5803677.0
1970,AGO,5890360.0
1971,AGO,6041239.0
1972,AGO,6248965.0
1973,AGO,6497283.0
1974,AGO,6761623.0
1975,AGO,7023994.0
1976,AGO,7279630.0
1977,AGO,7533814.0
1978,AGO,7790774.0
1979,AGO,8058112.0
1980,AGO,8341290.0
1981,AGO,8640478.0
1982,AGO,8952971.0
1983,AGO,9278104.0
1984,AGO,9614756.0
1985,AGO,9961993.0
1986,AGO,10320116.0
1987,AGO,10689247.0
1988,AGO,11068051.0
1989,AGO,11454784.0
1990,AGO,11848385.0
1991,AGO,12248901.0
