Country Code,Male,Female,Total,Year
AFG,8,0,8,1964
ARG,96,6,102,1964
ATG,4,0,4,1964
AUS,203,40,243,1964
AUT,45,11,56,1964
BEL,60,1,61,1964
BGR,56,7,63,1964
BHS,11,0,11,1964
BMU,4,0,4,1964
BOL,1,0,1,1964
BRA,60,1,61,1964
CAN,95,20,115,1964
CHE,65,1,66,1964
CHL,14,0,14,1964
CIV,9,0,9,1964
CMR,14,0,14,1964
COG,2,0,2,1964
COL,20,0,20,1964
CRI,2,0,2,1964
CUB,25,2,27,1964
CZE,95,9,104,1964
DEU,275,62,337,1964
DNK,57,7,64,1964
DOM,1,0,1,1964
DZA,1,0,1,1964
EGY,73,0,73,1964
ESP,48,3,51,1964
ETH,12,0,12,1964
FIN,84,5,89,1964
FRA,118,20,138,1964
GBR,160,44,204,1964
GHA,30,3,33,1964
GRC,18,0,18,1964
GUY,1,0,1,1964
HKG,38,1,39,1964
HRV,72,3,75,1964
HUN,150,32,182,1964
IND,52,1,53,1964
IRL,24,1,25,1964
IRN,58,4,62,1964
IRQ,13,0,13,1964
ISL,3,1,4,1964
ISR,8,2,10,1964
ITA,157,11,168,1964
JAM,17,4,21,1964
JPN,270,58,328,1964
KEN,37,0,37,1964
KOR,128,26,154,1964
LBN,5,0,5,1964
LBR,1,0,1,1964
LIE,2,0,2,1964
LKA,6,0,6,1964
LUX,10,2,12,1964
MAR,20,0,20,1964
MDG,3,0,3,1964
MEX,90,4,94,1964
MLI,2,0,2,1964
MMR,11,0,11,1964
MNG,18,4,22,1964
MYS,57,4,61,1964
NER,1,0,1,1964
NGA,16,2,18,1964
NLD,105,20,125,1964
NOR,24,2,26,1964
NPL,6,0,6,1964
NZL,56,8,64,1964
PAK,41,0,41,1964
PAN,6,4,10,1964
PER,30,1,31,1964
PHL,40,7,47,1964
POL,115,25,140,1964
PRI,30,2,32,1964
PRT,19,1,20,1964
ROU,108,30,138,1964
RUS,254,63,317,1964
SEN,12,0,12,1964
SWE,76,18,94,1964
TCD,2,0,2,1964
THA,47,7,54,1964
TTO,13,0,13,1964
TUN,9,0,9,1964
TUR,23,0,23,1964
TWN,37,3,40,1964
UGA,11,2,13,1964
URY,23,0,23,1964
USA,267,79,346,1964
VEN,15,1,16,1964
VNM,16,0,16,1964
ZMB,11,1,12,1964
ZWE,25,4,29,1964
AFG,5,0,5,1968
ARG,84,5,89,1968
ATG,3,2,5,1968
AUS,104,24,128,1968
AUT,35,8,43,1968
BEL,77,5,82,1968
BGR,102,10,112,1968
BHS,16,0,16,1968
BLZ,7,0,7,1968
BMU,6,0,6,1968
BOL,4,0,4,1968
BRA,73,3,76,1968
BRB,9,0,9,1968
CAF,1,0,1,1968
CAN,111,28,139,1968
CHE,81,4,85,1968
CHL,19,2,21,1968
CIV,10,0,10,1968
CMR,5,0,5,1968
COD,5,0,5,1968
COL,38,5,43,1968
CRI,17,1,18,1968
CUB,101,14,115,1968
CZE,94,27,121,1968
DEU,418,83,501,1968
DNK,64,4,68,1968
DOM,18,0,18,1968
DZA,3,0,3,1968
ECU,14,1,15,1968
EGY,30,0,30,1968
ESP,120,2,122,1968
ETH,18,0,18,1968
FIN,60,6,66,1968
FJI,1,0,1,1968
FRA,169,31,200,1968
GBR,175,50,225,1968
GHA,30,1,31,1968
GIN,15,0,15,1968
GRC,44,0,44,1968
GTM,47,1,48,1968
GUY,5,0,5,1968
HKG,11,0,11,1968
HND,6,0,6,1968
HRV,59,10,69,1968
HUN,135,32,167,1968
IDN,6,0,6,1968
IND,25,0,25,1968
IRL,25,6,31,1968
IRN,14,0,14,1968
IRQ,3,0,3,1968
ISL,6,2,8,1968
ISR,26,3,29,1968
ITA,152,15,167,1968
JAM,20,5,25,1968
JPN,146,25,171,1968
KEN,36,3,39,1968
KOR,41,13,54,1968
KWT,2,0,2,1968
LBN,11,0,11,1968
LBY,1,0,1,1968
LIE,2,0,2,1968
LKA,3,0,3,1968
LUX,3,2,5,1968
MAR,25,0,25,1968
MDG,4,0,4,1968
MEX,233,42,275,1968
MLI,2,0,2,1968
MLT,1,0,1,1968
MMR,4,0,4,1968
MNG,14,4,18,1968
MYS,31,0,31,1968
NER,2,0,2,1968
NGA,31,5,36,1968
NIC,11,0,11,1968
NLD,82,25,107,1968
NOR,38,8,46,1968
NZL,47,5,52,1968
PAK,15,0,15,1968
PAN,16,0,16,1968
PER,16,12,28,1968
PHL,45,4,49,1968
POL,140,37,177,1968
PRI,54,4,58,1968
PRT,19,1,20,1968
PRY,1,0,1,1968
ROU,66,16,82,1968
RUS,246,66,312,1968
SDN,5,0,5,1968
SEN,21,0,21,1968
SGP,4,0,4,1968
SLE,3,0,3,1968
SLV,52,8,60,1968
SMR,4,0,4,1968
SUR,1,0,1,1968
SWE,86,14,100,1968
SYR,2,0,2,1968
TCD,3,0,3,1968
THA,41,0,41,1968
TTO,19,0,19,1968
TUN,7,0,7,1968
TUR,29,0,29,1968
TWN,35,8,43,1968
UGA,11,0,11,1968
URY,21,6,27,1968
USA,274,83,357,1968
VEN,23,0,23,1968
VIR,6,0,6,1968
VNM,7,2,9,1968
ZMB,7,0,7,1968
