Year,Country Code,Total Competitors,Gold,Silver,Bronze,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
1964,ARG,102,0,2,0,1,0.009803922,96,0,0,6,0,0,1,0.009803922
1964,BHS,11,3,0,0,1,0.090909091,11,0,0,0,0,0,0,0
1964,AUS,243,18,4,10,18,0.074074074,203,10,0.049261084,40,7,0.175,1,0.004115226
1964,BEL,61,6,0,1,3,0.049180328,60,3,0.05,1,0,0,0,0
1964,BGR,63,9,10,2,10,0.158730159,56,10,0.178571429,7,0,0,0,0
1964,BRA,61,0,0,1,1,0.016393443,60,1,0.016666667,1,0,0,0,0
1964,CAN,115,3,4,1,4,0.034782609,95,4,0.042105263,20,0,0,0,0
1964,CHE,66,3,4,1,4,0.060606061,65,2,0.030769231,1,0,0,0,0
1964,CUB,27,0,2,0,1,0.037037037,25,1,0.04,2,0,0,0,0
1964,CZE,104,15,12,3,14,0.134615385,95,10,0.105263158,9,4,0.444444444,0,0
1964,DEU,337,30,44,18,50,0.148367953,275,33,0.12,62,9,0.14516129,8,0.023738872
1964,DNK,64,6,2,3,6,0.09375,57,4,0.070175439,7,0,0,0,0
1964,DQ,3,0,0,0,3,1,2,2,1,1,1,1,0,0
1964,ETH,12,3,0,0,1,0.083333333,12,1,0.083333333,0,0,0,0,0
1964,FIN,89,9,0,2,5,0.056179775,84,5,0.05952381,5,0,0,0,0
1964,FRA,138,3,16,6,15,0.108695652,118,11,0.093220339,20,2,0.1,2,0.014492754
1964,GBR,204,12,24,2,18,0.088235294,160,11,0.06875,44,5,0.113636364,2,0.009803922
1964,GHA,33,0,0,1,1,0.03030303,30,1,0.033333333,3,0,0,0,0
1964,HUN,182,30,14,5,22,0.120879121,150,17,0.113333333,32,5,0.15625,0,0
1964,IND,53,3,0,0,1,0.018867925,52,1,0.019230769,1,0,0,0,0
1964,IRL,25,0,0,1,1,0.04,24,1,0.041666667,1,0,0,0,0
1964,IRN,62,0,0,2,2,0.032258065,58,2,0.034482759,4,0,0,0,0
1964,ITA,168,30,20,7,27,0.160714286,157,23,0.146496815,11,1,0.090909091,3,0.017857143
1964,JPN,328,48,10,8,29,0.088414634,270,27,0.1,58,2,0.034482759,0,0
1964,KEN,37,0,0,1,1,0.027027027,37,1,0.027027027,0,0,0,0,0
1964,KOR,154,0,4,1,3,0.019480519,128,3,0.0234375,26,0,0,0,0
1964,MEX,94,0,0,1,1,0.010638298,90,1,0.011111111,4,0,0,0,0
1964,MNE,75,6,2,2,5,0.066666667,72,5,0.069444444,3,0,0,0,0
1964,NGA,18,0,0,1,1,0.055555556,16,1,0.0625,2,0,0,0,0
1964,NLD,125,6,8,4,10,0.08,105,7,0.066666667,20,3,0.15,0,0
1964,NZL,64,9,0,2,5,0.078125,56,3,0.053571429,8,1,0.125,1,0.015625
1964,PAK,41,0,2,0,1,0.024390244,41,1,0.024390244,0,0,0,0,0
1964,PHL,47,0,2,0,1,0.021276596,40,1,0.025,7,0,0,0,0
1964,POL,140,21,12,10,23,0.164285714,115,17,0.147826087,25,6,0.24,0,0
1964,ROU,138,6,8,6,12,0.086956522,108,7,0.064814815,30,5,0.166666667,0,0
1964,RUS,317,90,62,35,96,0.302839117,254,69,0.271653543,63,25,0.396825397,2,0.006309148
1964,SWE,94,6,4,4,8,0.085106383,76,6,0.078947368,18,0,0,0,0
1964,TTO,13,0,2,2,3,0.230769231,13,3,0.230769231,0,0,0,0,0
1964,TUN,9,0,2,1,2,0.222222222,9,2,0.222222222,0,0,0,0,0
1964,TUR,23,6,6,1,6,0.260869565,23,6,0.260869565,0,0,0,0,0
1964,URY,23,0,0,1,1,0.043478261,23,1,0.043478261,0,0,0,0,0
1964,USA,346,108,52,28,90,0.260115607,267,60,0.224719101,79,24,0.303797468,6,0.01734104
1968,ARG,89,0,0,2,2,0.02247191,84,2,0.023809524,5,0,0,0,0
1968,AUS,128,15,14,5,17,0.1328125,104,9,0.086538462,24,7,0.291666667,1,0.0078125
1968,AUT,43,0,4,2,4,0.093023256,35,1,0.028571429,8,2,0.25,1,0.023255814
1968,BEL,82,0,2,1,2,0.024390244,77,2,0.025974026,5,0,0,0,0
1968,BGR,112,6,8,3,9,0.080357143,102,9,0.088235294,10,0,0,0,0
1968,BRA,76,0,2,2,3,0.039473684,73,2,0.02739726,3,0,0,0,0
1968,CAN,139,3,6,1,5,0.035971223,111,1,0.009009009,28,3,0.107142857,1,0.007194245
1968,CHE,85,0,2,4,5,0.058823529,81,2,0.024691358,4,0,0,0,0
1968,CMR,5,0,2,0,1,0.2,5,1,0.2,0,0,0,0,0
1968,CUB,115,0,8,0,4,0.034782609,101,3,0.02970297,14,1,0.071428571,0,0
1968,CZE,121,21,4,4,13,0.107438017,94,4,0.042553191,27,8,0.296296296,1,0.008264463
1968,DEU,501,27,18,7,51,0.101796407,418,27,0.064593301,83,13,0.156626506,11,0.021956088
1968,DNK,68,3,8,3,8,0.117647059,64,7,0.109375,4,0,0,0,0
1968,DQ,2,0,0,0,2,1,1,1,1,1,1,1,0,0
1968,ETH,18,3,2,0,2,0.111111111,18,2,0.111111111,0,0,0,0,0
1968,FIN,66,3,4,1,4,0.060606061,60,4,0.066666667,6,0,0,0,0
1968,FRA,200,21,6,5,15,0.075,169,12,0.071005917,31,1,0.032258065,2,0.01
1968,GBR,225,15,10,3,13,0.057777778,175,4,0.022857143,50,2,0.04,7,0.031111111
1968,GRC,44,0,0,1,1,0.022727273,44,1,0.022727273,0,0,0,0,0
1968,HUN,167,30,20,12,32,0.191616766,135,25,0.185185185,32,6,0.1875,1,0.005988024
1968,IND,25,0,0,1,1,0.04,25,1,0.04,0,0,0,0,0
1968,IRN,14,6,2,2,5,0.357142857,14,5,0.357142857,0,0,0,0,0
1968,ITA,167,9,8,9,16,0.095808383,152,13,0.085526316,15,0,0,0,0
1968,JAM,25,0,2,0,1,0.04,20,1,0.05,5,0,0,0,0
1968,JPN,171,33,14,7,25,0.14619883,146,24,0.164383562,25,1,0.04,0,0
1968,KEN,39,9,8,2,9,0.230769231,36,9,0.25,3,0,0,0,0
1968,KOR,54,0,2,1,2,0.037037037,41,2,0.048780488,13,0,0,0,0
1968,MEX,275,9,6,3,9,0.032727273,233,7,0.030042918,42,2,0.047619048,0,0
1968,MNE,69,9,6,2,8,0.115942029,59,6,0.101694915,10,2,0.2,0,0
1968,MNG,18,0,2,3,4,0.222222222,14,4,0.285714286,4,0,0,0,0
1968,NLD,107,9,6,1,7,0.065420561,82,5,0.06097561,25,2,0.08,0,0
1968,NOR,46,3,2,0,2,0.043478261,38,1,0.026315789,8,0,0,0,0
1968,NZL,52,3,0,2,3,0.057692308,47,2,0.042553191,5,0,0,0,0
1968,PAK,15,3,0,0,1,0.066666667,15,1,0.066666667,0,0,0,0,0
