,Gold,Silver,Bronze,Total,GDP,Latitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
0,0,0,1,1,3.856799844,South,15960445,47.47,6411.84284,3,1,0.333333333,2,0,0.0,1,1,1.0,0,0.0
1,0,0,1,1,0.74277974,North,4768225,36.203,5043.162906,4,1,0.25,4,1,0.25,0,0,0.0,0,0.0
2,3,0,0,1,5.656473652,South,17711925,48.946,6411.84284,4,1,0.25,2,0,0.0,2,1,0.5,0,0.0
3,3,0,0,1,147.824,North,4068577,75.174,5084.586667,4,1,0.25,4,1,0.25,0,0,0.0,0,0.0
4,0,0,1,1,1.109054005,North,2719809,57.932,5064.849686,4,1,0.25,3,1,0.333333333,1,0,0.0,0,0.0
5,0,0,1,1,10.10922581,North,27722281,59.93,5247.865726,4,1,0.25,3,1,0.333333333,1,0,0.0,0,0.0
6,0,0,1,1,3.32367713,North,6083417,56.178,5243.072001,4,1,0.25,3,1,0.333333333,1,0,0.0,0,0.0
7,0,2,0,1,14.38000418,South,2039551,63.511,6338.289724,4,1,0.25,3,1,0.333333333,1,0,0.0,0,0.0
8,0,2,0,1,1.046191192,North,6201410,45.509,5286.381803,5,1,0.2,5,1,0.2,0,0,0.0,0,0.0
9,0,2,0,1,0.222100576,South,96267,69.41,11540.09517,5,1,0.2,4,1,0.25,1,0,0.0,0,0.0
10,3,0,0,1,25.1558886,North,3516204,76.414,6636.837866,5,1,0.2,3,1,0.333333333,2,0,0.0,0,0.0
11,0,0,1,1,0.395794539,North,528993,56.271,5198.490481,6,1,0.166666667,6,1,0.166666667,0,0,0.0,0,0.0
12,3,0,0,1,1.161,North,388877,67.233,6076.477344,6,1,0.166666667,4,1,0.25,2,0,0.0,0,0.0
13,0,4,0,2,3.429538518,South,1516951,61.165,6234.273931,6,2,0.333333333,5,2,0.4,1,0,0.0,0,0.0
14,0,0,1,1,0.4046,North,420658,67.59,6076.477344,6,1,0.166666667,5,1,0.2,1,0,0.0,0,0.0
15,0,0,1,1,25.08693069,North,17827827,74.25,4741.878703,6,1,0.166666667,5,1,0.2,1,0,0.0,0,0.0
16,0,2,0,1,0.619260722,South,183270,71.158,11232.67321,6,1,0.166666667,4,0,0.0,2,1,0.5,0,0.0
17,0,0,1,1,20.00159851,North,31161378,62.054,5247.865726,6,1,0.166666667,5,1,0.2,1,0,0.0,0,0.0
18,0,2,0,1,10.35500677,North,20788789,61.137,5043.162906,6,1,0.166666667,4,1,0.25,2,0,0.0,0,0.0
19,3,0,1,2,1.214666667,North,4845220,48.882,4575.978044,7,2,0.285714286,7,2,0.285714286,0,0,0.0,0,0.0
20,3,0,0,1,0.869033856,South,6060110,46.905,5532.10539,7,1,0.142857143,6,1,0.166666667,1,0,0.0,0,0.0
21,3,0,0,1,13.78956088,North,14754148,72.205,4741.878703,7,1,0.142857143,6,0,0.0,1,1,1.0,0,0.0
22,0,0,2,2,15.01362967,North,3962369,77.452,6772.216453,7,2,0.285714286,5,0,0.0,2,2,1.0,0,0.0
23,0,2,0,1,31.1725184,North,79910411,73.025,6049.703402,7,1,0.142857143,3,0,0.0,4,1,0.25,0,0.0
24,3,0,0,1,6.992393787,North,8663575,70.397,5237.215111,7,1,0.142857143,5,1,0.2,2,0,0.0,0,0.0
25,0,0,1,1,0.6032,North,780153,62.498,6123.836514,8,1,0.125,7,1,0.142857143,1,0,0.0,0,0.0
26,0,4,0,2,3.989208671,South,1663378,57.179,6234.273931,8,2,0.25,6,2,0.333333333,2,0,0.0,0,0.0
27,0,2,0,1,3.597220962,South,9339740,43.735,5970.820348,8,1,0.125,7,1,0.142857143,1,0,0.0,0,0.0
28,3,0,0,1,39.89255113,North,9554286,74.184,4750.030331,8,1,0.125,7,1,0.142857143,1,0,0.0,0,0.0
29,0,2,0,1,17.50308298,North,10293048,68.005,4741.878703,9,1,0.111111111,9,1,0.111111111,0,0,0.0,0,0.0
30,0,2,0,1,54.52658023,North,33060844,61.879,5011.803828,9,1,0.111111111,5,1,0.2,4,0,0.0,0,0.0
31,0,2,0,1,2.959641047,South,10488002,60.528,5532.10539,9,1,0.111111111,5,0,0.0,4,1,0.25,0,0.0
32,0,0,1,1,6.044585327,North,21032817,43.899,5437.071325,10,1,0.1,7,1,0.142857143,3,0,0.0,0,0.0
33,0,0,1,1,3.773653058,North,2034823,73.267,4570.1592,10,1,0.1,6,1,0.166666667,4,0,0.0,0,0.0
34,0,0,1,1,174.07,North,3348852,74.728,4936.327305,10,1,0.1,8,1,0.125,2,0,0.0,0,0.0
35,0,2,1,2,1.037815126,North,8841156,48.687,5437.071325,11,2,0.181818182,11,2,0.181818182,0,0,0.0,0,0.0
36,3,0,0,1,11.67842451,North,3632361,76.765,6772.216453,11,1,0.090909091,6,0,0.0,5,1,0.2,0,0.0
37,0,2,0,1,82.84814062,North,71401743,68.431,6570.342239,12,1,0.083333333,8,1,0.125,4,0,0.0,0,0.0
38,3,2,1,3,5.8055984,South,12019911,43.065,6067.669821,12,3,0.25,9,0,0.0,3,3,1.0,0,0.0
39,0,0,2,2,186.834,North,2196078,79.399,5031.895297,12,2,0.166666667,8,2,0.25,4,0,0.0,0,0.0
40,0,0,1,1,357.045,North,9360975,77.47,5084.586667,12,1,0.083333333,9,1,0.111111111,3,0,0.0,0,0.0
41,3,0,1,2,47.96423456,North,23822726,56.567,5273.257207,12,2,0.166666667,5,1,0.2,7,1,0.142857143,0,0.0
42,0,2,0,1,1.24461,North,12442333,50.0,5437.071325,13,1,0.076923077,13,1,0.076923077,0,0,0.0,0,0.0
43,0,2,0,1,99.1303041,North,86243424,74.625,6049.703402,13,1,0.076923077,7,1,0.142857143,6,0,0.0,0,0.0
44,3,6,0,4,4.4157028,South,12379553,46.504,6067.669821,13,4,0.307692308,8,0,0.0,5,4,0.8,0,0.0
45,0,2,0,1,24.97851343,North,1135046,79.812,4692.627197,13,1,0.076923077,9,1,0.111111111,4,0,0.0,0,0.0
46,0,2,0,1,318.627,North,103663812,70.802,6570.342239,13,1,0.076923077,7,0,0.0,6,1,0.166666667,0,0.0
47,6,2,2,5,8.62317296,North,27032576,49.503,4946.229137,14,5,0.357142857,14,5,0.357142857,0,0,0.0,0,0.0
48,0,0,1,1,61.66719984,North,54891520,69.745,6073.180027,14,1,0.071428571,12,1,0.083333333,2,0,0.0,0,0.0
49,0,0,1,1,3.109,North,266028,70.807,6296.326029,14,1,0.071428571,12,1,0.083333333,2,0,0.0,0,0.0
50,3,0,0,1,8.04199916,North,55102690,51.457,5320.200653,15,1,0.066666667,15,1,0.066666667,0,0,0.0,0,0.0
51,0,2,0,1,6.841638715,North,9530103,52.645,5273.257207,15,1,0.066666667,14,1,0.071428571,1,0,0.0,0,0.0
52,0,2,0,1,22.8232558,South,3319734,74.731,7513.94415,15,1,0.066666667,12,1,0.083333333,3,0,0.0,0,0.0
53,0,2,1,2,5.161337336,North,7209924,67.911,5237.215111,15,2,0.133333333,12,2,0.166666667,3,0,0.0,0,0.0
54,3,0,0,1,27.18866709,North,34558700,59.017,5437.071325,15,1,0.066666667,11,1,0.090909091,4,0,0.0,0,0.0
55,0,0,1,1,2.739444444,South,6701547,52.87,5970.820348,16,1,0.0625,16,1,0.0625,0,0,0.0,0,0.0
56,0,2,0,1,4.614629898,North,2960932,75.243,6772.216453,16,1,0.0625,9,0,0.0,7,1,0.142857143,0,0.0
57,0,0,1,1,7.633049792,North,7874838,69.34,5237.215111,16,1,0.0625,13,0,0.0,3,1,0.333333333,0,0.0
58,0,0,1,1,17.75989011,North,592467,77.467,5031.895297,17,1,0.058823529,17,1,0.058823529,0,0,0.0,0,0.0
59,0,0,1,1,5.552822484,North,49066762,38.691,5132.154627,18,1,0.055555556,16,1,0.0625,2,0,0.0,0,0.0
60,0,0,3,3,2.679409453,North,2162839,70.793,6373.497473,18,3,0.166666667,11,2,0.181818182,7,1,0.142857143,0,0.0
61,6,0,1,3,8.547939731,North,58883531,49.81,5218.352425,18,3,0.166666667,10,1,0.1,8,2,0.25,0,0.0
62,3,2,1,3,120.404,North,62294919,68.791,4946.229137,18,3,0.166666667,17,3,0.176470588,1,0,0.0,0,0.0
63,0,0,1,1,3.0595,North,271511,77.162,6011.81396,18,1,0.055555556,12,1,0.083333333,6,0,0.0,0,0.0
64,0,0,1,1,9.025660362,North,281205,79.65365854,5458.149685,18,1,0.055555556,9,0,0.0,9,1,0.111111111,0,0.0
65,0,2,1,2,189.515,North,20663840,72.561,4975.397389,18,2,0.111111111,18,1,0.055555556,0,0,0.0,0,0.0
66,0,0,1,1,155.82,North,89801926,74.958,6049.703402,18,1,0.055555556,6,1,0.166666667,12,0,0.0,0,0.0
67,0,4,0,2,20.33283157,North,9355810,68.86097561,4772.6015,19,2,0.105263158,19,1,0.052631579,0,0,0.0,0,0.0
68,0,0,1,1,11.594,North,6331760,64.326,6178.694056,19,1,0.052631579,15,1,0.066666667,4,0,0.0,0,0.0
69,3,0,0,1,25.2263932,South,11703169,71.348,6849.429355,19,1,0.052631579,17,1,0.058823529,2,0,0.0,0,0.0
70,0,2,0,1,49.59396114,North,14781942,72.236,6867.906819,19,1,0.052631579,12,1,0.083333333,7,0,0.0,0,0.0
71,3,2,0,2,2.96601023,North,2055371,69.718,6373.497473,20,2,0.1,11,2,0.181818182,9,0,0.0,0,0.0
72,0,2,2,3,5.139957785,North,5318700,68.45121951,5366.25977,20,3,0.15,16,3,0.1875,4,0,0.0,0,0.0
73,0,2,0,1,15.43940845,South,21153462,64.949,7182.341677,21,1,0.047619048,7,0,0.0,14,1,0.071428571,0,0.0
74,3,0,0,1,17.46222959,North,17259322,52.321,5286.381803,21,1,0.047619048,12,0,0.0,9,1,0.111111111,0,0.0
75,3,0,0,1,10.7205,North,363581,72.424,6296.326029,21,1,0.047619048,12,1,0.083333333,9,0,0.0,0,0.0
76,0,2,0,1,17.17046529,North,1749677,62.924,5392.893265,21,1,0.047619048,19,1,0.052631579,2,0,0.0,0,0.0
77,3,0,1,2,9.05529,North,318893,71.988,6296.326029,22,2,0.090909091,13,0,0.0,9,2,0.222222222,0,0.0
78,0,2,0,1,9.624440836,South,5730556,71.464,7123.698478,22,1,0.045454545,20,1,0.05,2,0,0.0,0,0.0
79,0,4,1,3,917.87,South,248451714,69.866,6727.82979,22,3,0.136363636,13,2,0.153846154,9,1,0.111111111,0,0.0
80,3,2,0,2,205.276,North,93640435,75.172,6049.703402,22,2,0.090909091,10,2,0.2,12,0,0.0,0,0.0
81,6,6,1,6,11.17777778,North,30244258,48.312,4669.026362,23,6,0.260869565,23,6,0.260869565,0,0,0.0,0,0.0
82,0,0,1,1,1.975701816,South,2665383,68.455,7513.94415,23,1,0.043478261,23,1,0.043478261,0,0,0.0,0,0.0
83,3,0,0,1,10.03444444,North,10702281,63.916,6249.581149,23,1,0.043478261,23,1,0.043478261,0,0,0.0,0,0.0
84,0,2,0,1,123.058,North,53077312,60.516,4946.229137,23,1,0.043478261,23,1,0.043478261,0,0,0.0,0,0.0
85,0,2,0,1,6.418419798,North,7086624,56.283,5203.302467,23,1,0.043478261,22,1,0.045454545,1,0,0.0,0,0.0
86,0,2,0,1,3.176333837,North,7763000,65.573,4916.379435,23,1,0.043478261,20,1,0.05,3,0,0.0,0,0.0
87,0,0,1,1,13.16808081,North,68834324,55.421,5320.200653,24,1,0.041666667,24,1,0.041666667,0,0,0.0,0,0.0
88,3,2,0,2,48.12254718,North,9458079,71.559,6178.694056,24,2,0.083333333,18,2,0.111111111,6,0,0.0,0,0.0
89,3,2,4,6,510.229,South,235469755,68.485,6727.82979,24,6,0.25,15,3,0.2,9,2,0.222222222,1,0.041666667
90,0,2,1,2,10.61932005,North,2884239,73.82,4833.0877,24,2,0.083333333,20,2,0.1,4,0,0.0,0,0.0
91,0,0,1,1,2.766608946,North,2866550,70.40129268,4872.616191,25,1,0.04,24,1,0.041666667,1,0,0.0,0,0.0
92,0,0,1,1,53.08545587,North,531513834,46.428,5416.461758,25,1,0.04,25,1,0.04,0,0,0.0,0,0.0
93,0,2,0,1,1.083883355,North,1825873,67.349,6373.497473,25,1,0.04,20,1,0.05,5,0,0.0,0,0.0
94,0,0,1,1,12.27441602,North,58665813,41.829,5132.154627,25,1,0.04,20,1,0.05,5,0,0.0,0,0.0
95,0,2,0,1,9.41501636,North,61381982,53.699,5320.200653,25,1,0.04,25,1,0.04,0,0,0.0,0,0.0
96,0,0,1,1,110.429,North,5692000,78.10487805,5276.838423,25,1,0.04,18,1,0.055555556,7,0,0.0,0,0.0
97,0,0,1,1,1.911563669,North,3069597,71.409,4833.0877,25,1,0.04,23,1,0.043478261,2,0,0.0,0,0.0
98,6,0,1,3,8.07647,North,298045,71.914,6296.326029,25,3,0.12,16,1,0.0625,9,2,0.222222222,0,0.0
99,0,2,4,5,11.66204071,North,2907615,72.946,4833.0877,25,5,0.2,23,5,0.217391304,2,0,0.0,0,0.0
100,0,2,1,2,10.526,North,343680,72.022,6296.326029,25,2,0.08,16,2,0.125,9,0,0.0,0,0.0
101,0,2,0,1,61.762635,South,14535740,74.705,6849.429355,25,1,0.04,17,1,0.058823529,8,0,0.0,0,0.0
102,0,0,3,3,60.01028571,North,16876703,69.497,6249.581149,26,3,0.115384615,25,3,0.12,1,0,0.0,0,0.0
103,0,0,1,1,59.16755016,North,19002660,71.326,6345.21237,26,1,0.038461538,26,1,0.038461538,0,0,0.0,0,0.0
104,0,0,1,1,52.97634493,North,65020124,67.239,6570.342239,26,1,0.038461538,24,1,0.041666667,2,0,0.0,0,0.0
105,12,2,3,8,8.242392104,North,66224809,51.941,5218.352425,26,8,0.307692308,15,5,0.333333333,11,3,0.272727273,0,0.0
106,6,6,2,7,10.13118726,North,74239508,55.174,5218.352425,26,7,0.269230769,14,3,0.214285714,12,4,0.333333333,0,0.0
107,3,0,0,1,44.86096908,North,10414425,74.72,4575.978044,26,1,0.038461538,14,1,0.071428571,12,0,0.0,0,0.0
108,0,0,1,1,75.70472019,North,10397738,73.471,6178.694056,26,1,0.038461538,18,1,0.055555556,8,0,0.0,0,0.0
109,0,0,1,1,48.88460685,North,113911126,60.68,5320.200653,27,1,0.037037037,27,1,0.037037037,0,0,0.0,0,0.0
110,12,4,1,7,27.06691264,North,82916236,59.581,5218.352425,27,7,0.259259259,14,4,0.285714286,13,3,0.230769231,0,0.0
111,0,2,0,1,18.07462299,North,317414,81.6097561,5458.149685,27,1,0.037037037,20,1,0.05,7,0,0.0,0,0.0
112,0,0,1,1,7.646153984,North,495403,76.241,5031.895297,28,1,0.035714286,28,1,0.035714286,0,0,0.0,0,0.0
113,3,4,0,3,931.877,South,261556386,71.035,6727.82979,28,3,0.107142857,17,1,0.058823529,11,1,0.090909091,1,0.035714286
114,6,0,0,2,17.5,North,33256465,51.053,4669.026362,29,2,0.068965517,29,2,0.068965517,0,0,0.0,0,0.0
115,0,2,0,1,84.30017448,South,174975953,61.512,6727.82979,29,1,0.034482759,23,0,0.0,6,1,0.166666667,0,0.0
116,0,0,1,1,37.71284224,North,2045123,73.142,4936.327305,29,1,0.034482759,29,1,0.034482759,0,0,0.0,0,0.0
117,0,0,1,1,6.054849885,North,2867964,68.671,4669.953369,29,1,0.034482759,21,1,0.047619048,8,0,0.0,0,0.0
118,0,2,1,2,314.443,North,29068189,74.877,6345.21237,29,2,0.068965517,16,1,0.0625,13,1,0.076923077,0,0.0
119,3,0,1,2,11.9285,North,377923,73.329,6296.326029,29,2,0.068965517,17,1,0.058823529,12,1,0.083333333,0,0.0
120,0,0,1,1,2.864441356,North,239511,77.57658537,5458.149685,30,1,0.033333333,27,1,0.037037037,3,0,0.0,0,0.0
121,0,0,1,1,38.47274281,North,101389603,59.493,5320.200653,30,1,0.033333333,30,1,0.033333333,0,0,0.0,0,0.0
122,3,0,0,1,31.15182547,North,89213708,58.213,5320.200653,31,1,0.032258065,31,1,0.032258065,0,0,0.0,0,0.0
123,0,0,1,1,37.88544042,North,58794999,65.534,6570.342239,31,1,0.032258065,26,1,0.038461538,5,0,0.0,0,0.0
124,6,0,1,3,5.272798391,North,8048600,66.763,4916.379435,31,3,0.096774194,25,2,0.08,6,1,0.166666667,0,0.0
125,3,6,0,4,10.54613516,North,2936147,74.64,4833.0877,31,4,0.129032258,24,4,0.166666667,7,0,0.0,0,0.0
126,0,2,0,1,31.41953488,North,13572210,67.42,6249.581149,32,1,0.03125,23,1,0.043478261,9,0,0.0,0,0.0
127,0,2,1,2,73.48435952,North,81448757,46.106,5132.154627,32,2,0.0625,30,2,0.066666667,2,0,0.0,0,0.0
128,3,2,0,2,1.596968946,North,3168213,69.404,4833.0877,32,2,0.0625,30,2,0.066666667,2,0,0.0,0,0.0
129,6,4,0,4,5.125365192,North,3927340,70.451,4838.941393,32,4,0.125,26,4,0.153846154,6,0,0.0,0,0.0
130,0,8,0,4,14.4018824,North,2263122,72.02682927,4827.814877,32,4,0.125,22,3,0.136363636,10,1,0.1,0,0.0
131,0,2,0,1,230.814,North,27236003,74.118,6345.21237,32,1,0.03125,18,1,0.055555556,14,0,0.0,0,0.0
132,0,2,1,2,23.19270898,North,1322696,76.32682927,4908.788015,32,2,0.0625,23,2,0.086956522,9,0,0.0,0,0.0
133,0,8,1,5,301.255,North,30684652,75.649,6345.21237,32,5,0.15625,17,3,0.176470588,15,1,0.066666667,1,0.03125
134,0,0,1,1,1.731296119,North,7524470,47.469,5271.593968,33,1,0.03030303,30,1,0.033333333,3,0,0.0,0,0.0
135,0,0,1,1,1.87504886,North,1935089,68.491,6373.497473,33,1,0.03030303,21,1,0.047619048,12,0,0.0,0,0.0
136,3,2,0,2,1.491596639,North,9929644,49.558,5437.071325,33,2,0.060606061,31,2,0.064516129,2,0,0.0,0,0.0
137,0,0,2,2,53.69827891,North,21763578,63.13,4616.552558,33,2,0.060606061,33,2,0.060606061,0,0,0.0,0,0.0
138,3,0,2,3,5.694069842,North,1396985,70.41707317,4908.788015,33,3,0.090909091,31,3,0.096774194,2,0,0.0,0,0.0
139,9,0,1,4,109.592,North,65623397,70.176,4946.229137,33,4,0.121212121,32,4,0.125,1,0,0.0,0,0.0
140,3,0,0,1,22.32239537,North,8974444,70.499,6178.694056,33,1,0.03030303,17,1,0.058823529,16,0,0.0,0,0.0
141,3,2,0,2,60.6815372,North,9930916,72.523,6178.694056,33,2,0.060606061,13,2,0.153846154,20,0,0.0,0,0.0
142,9,4,3,8,43.31072141,North,92726982,63.281,5218.352425,33,8,0.242424242,18,2,0.111111111,15,6,0.4,0,0.0
143,0,0,1,1,6.413901602,North,15653345,57.462,5271.593968,34,1,0.029411765,32,1,0.03125,2,0,0.0,0,0.0
144,0,0,2,2,3.095047604,North,4491699,69.635,4838.941393,34,2,0.058823529,27,2,0.074074074,7,0,0.0,0,0.0
145,0,2,1,2,1.288429392,North,2923783,67.006,4669.953369,34,2,0.058823529,29,2,0.068965517,5,0,0.0,0,0.0
146,3,4,3,6,16.48840308,North,3728874,72.097,4838.941393,34,6,0.176470588,28,6,0.214285714,6,0,0.0,0,0.0
147,0,0,1,1,2.112292945,North,9229640,49.912,5271.593968,35,1,0.028571429,33,1,0.03030303,2,0,0.0,0,0.0
148,0,2,0,1,2.23747642,North,5291335,53.452,4575.978044,35,1,0.028571429,35,1,0.028571429,0,0,0.0,0,0.0
149,0,2,0,1,41.79759296,North,51094870,67.128,6073.180027,35,1,0.028571429,25,1,0.04,10,0,0.0,0,0.0
150,0,4,0,2,3.828310735,North,2389415,72.601,6373.497473,35,2,0.057142857,24,1,0.041666667,11,1,0.090909091,0,0.0
151,3,0,1,2,48.00307839,North,27028330,67.575,4616.552558,35,2,0.057142857,33,1,0.03030303,2,1,0.5,0,0.0
152,0,2,1,2,100.855,North,21017619,71.972,6345.21237,35,2,0.057142857,32,2,0.0625,3,0,0.0,0,0.0
153,9,4,2,7,12.79507647,North,3848449,70.946,4838.941393,35,7,0.2,27,6,0.222222222,8,1,0.125,0,0.0
154,0,6,1,4,3.53546009,North,2461047,73.727,6373.497473,36,4,0.111111111,22,1,0.045454545,14,3,0.214285714,0,0.0
155,0,0,6,6,3.057475335,North,4077131,69.902,4838.941393,36,6,0.166666667,27,6,0.222222222,9,0,0.0,0,0.0
156,3,0,4,5,8.680370408,North,8306500,68.249,4916.379435,36,5,0.138888889,30,3,0.1,6,2,0.333333333,0,0.0
157,3,0,1,2,135.728,North,6809000,80.14634146,5276.838423,36,2,0.055555556,20,2,0.1,16,0,0.0,0,0.0
158,3,0,0,1,26.51668161,North,19252674,54.153,5286.381803,36,1,0.027777778,27,0,0.0,9,1,0.111111111,0,0.0
159,0,0,1,1,0.998759334,South,9222692,49.261,5507.264521,37,1,0.027027027,37,1,0.027027027,0,0,0.0,0,0.0
160,0,2,0,1,59.11651163,North,15182616,68.542,6249.581149,37,1,0.027027027,37,1,0.027027027,0,0,0.0,0,0.0
