Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
Australia,AUS,18,4,10,18,1964,Tokyo,JPN,23.76413932,South,East,11167000,70.88097561,8930.279555,243,18,0.074074074,203,10,0.049261084,40,7,0.175,1,0.004115226
Belgium,BEL,6,0,1,3,1964,Tokyo,JPN,15.96010668,North,East,9378113,70.75512195,4675.567093,61,3,0.049180328,60,3,0.05,1,0,0,0,0
Brazil,BRA,0,0,1,1,1964,Tokyo,JPN,21.21189226,South,West,81064572,56.121,6524.317219,61,1,0.016393443,60,1,0.016666667,1,0,0,0,0
Canada,CAN,3,4,1,4,1964,Tokyo,JPN,49.3775229,North,West,19325000,71.77634146,6264.481855,115,4,0.034782609,95,4,0.042105263,20,0,0,0,0
Switzerland,CHE,3,4,1,4,1964,Tokyo,JPN,14.48055657,North,East,5789228,72.07780488,4591.695619,66,4,0.060606061,65,2,0.030769231,1,0,0,0,0
Finland,FIN,9,0,2,5,1964,Tokyo,JPN,7.766655086,North,East,4548543,69.22097561,4940.610108,89,5,0.056179775,84,5,0.05952381,5,0,0,0,0
France,FRA,3,16,6,15,1964,Tokyo,JPN,94.00785105,North,East,49230585,70.66341463,4657.586983,138,15,0.108695652,118,11,0.093220339,20,2,0.1,2,0.014492754
United Kingdom,GBR,12,24,2,18,1964,Tokyo,JPN,94.40755835,North,West,54000000,71.62439024,4727.145661,204,18,0.088235294,160,11,0.06875,44,5,0.113636364,2,0.009803922
Ghana,GHA,0,0,1,1,1964,Tokyo,JPN,1.731296119,North,West,7524470,47.469,5271.593968,33,1,0.03030303,30,1,0.033333333,3,0,0,0,0
India,IND,3,0,0,1,1964,Tokyo,JPN,56.48028994,North,East,488848139,43.873,5416.461758,53,1,0.018867925,52,1,0.019230769,1,0,0,0,0
Ireland,IRL,0,0,1,1,1964,Tokyo,JPN,2.766608946,North,West,2866550,70.40129268,4872.616191,25,1,0.04,24,1,0.041666667,1,0,0,0,0
Iran,IRN,0,0,2,2,1964,Tokyo,JPN,5.379845648,North,East,24307855,47.172,4946.229137,62,2,0.032258065,58,2,0.034482759,4,0,0,0,0
Italy,ITA,30,20,7,27,1964,Tokyo,JPN,63.17541702,North,East,51675350,70.31170732,4550.870026,168,27,0.160714286,157,23,0.146496815,11,1,0.090909091,3,0.017857143
Japan,JPN,48,10,8,29,1964,Tokyo,JPN,81.74900638,North,East,96903000,70.13243902,6878.392656,328,29,0.088414634,270,27,0.1,58,2,0.034482759,0,0
Kenya,KEN,0,0,1,1,1964,Tokyo,JPN,0.998759334,South,East,9222692,49.261,5507.264521,37,1,0.027027027,37,1,0.027027027,0,0,0,0,0
South Korea,KOR,0,4,1,3,1964,Tokyo,JPN,3.458939358,North,East,27984155,57.44092683,6422.407919,154,3,0.019480519,128,3,0.0234375,26,0,0,0,0
Mexico,MEX,0,0,1,1,1964,Tokyo,JPN,20.08,North,West,42771077,59.069,7089.643002,94,1,0.010638298,90,1,0.011111111,4,0,0,0,0
Nigeria,NGA,0,0,1,1,1964,Tokyo,JPN,5.552822484,North,East,49066762,38.691,5132.154627,18,1,0.055555556,16,1,0.0625,2,0,0,0,0
Netherlands,NLD,6,8,4,10,1964,Tokyo,JPN,18.69938073,North,East,12127120,73.70414634,4712.2653,125,10,0.08,105,7,0.066666667,20,3,0.15,0,0
New Zealand,NZL,9,0,2,5,1964,Tokyo,JPN,7.274144351,South,East,2585400,71.32926829,10162.12167,64,5,0.078125,56,3,0.053571429,8,1,0.125,1,0.015625
Pakistan,PAK,0,2,0,1,1964,Tokyo,JPN,5.204955901,North,East,49627623,48.67,5320.200653,41,1,0.024390244,41,1,0.024390244,0,0,0,0,0
Philippines,PHL,0,2,0,1,1964,Tokyo,JPN,5.271404668,North,East,29958687,62.411,6570.342239,47,1,0.021276596,40,1,0.025,7,0,0,0,0
Sweden,SWE,6,4,4,8,1964,Tokyo,JPN,22.53241675,North,East,7661354,73.73317073,4888.823928,94,8,0.085106383,76,6,0.078947368,18,0,0,0,0
Turkey,TUR,6,6,1,6,1964,Tokyo,JPN,11.17777778,North,East,30244258,48.312,4669.026362,23,6,0.260869565,23,6,0.260869565,0,0,0,0,0
Uruguay,URY,0,0,1,1,1964,Tokyo,JPN,1.975701816,South,West,2665383,68.455,7513.94415,23,1,0.043478261,23,1,0.043478261,0,0,0,0,0
United States,USA,108,52,28,90,1964,Tokyo,JPN,685.8,North,West,191889000,70.16585366,6262.408512,346,90,0.260115607,267,60,0.224719101,79,24,0.303797468,6,0.01734104
Argentina,ARG,0,0,2,2,1968,Mexico City,MEX,26.43685725,South,West,23168268,65.989,7691.760326,89,2,0.02247191,84,2,0.023809524,5,0,0,0,0
Australia,AUS,15,14,5,17,1968,Mexico City,MEX,32.66547206,South,East,12009000,70.91902439,8930.279555,128,17,0.1328125,104,9,0.086538462,24,7,0.291666667,1,0.0078125
Austria,AUT,0,4,2,4,1968,Mexico City,MEX,12.44062531,North,East,7415403,70.05756098,4604.985842,43,4,0.093023256,35,1,0.028571429,8,2,0.25,1,0.023255814
Belgium,BEL,0,2,1,2,1968,Mexico City,MEX,21.37635311,North,East,9618756,70.69317073,4675.567093,82,2,0.024390244,77,2,0.025974026,5,0,0,0,0
Brazil,BRA,0,2,2,3,1968,Mexico City,MEX,33.87588188,South,West,90387079,58.025,6524.317219,76,3,0.039473684,73,2,0.02739726,3,0,0,0,0
Canada,CAN,3,6,1,5,1968,Mexico City,MEX,71.82981052,North,West,20744000,72.35341463,6264.481855,139,5,0.035971223,111,1,0.009009009,28,3,0.107142857,1,0.007194245
Switzerland,CHE,0,2,4,5,1968,Mexico City,MEX,18.94272978,North,East,6067714,72.5902439,4591.695619,85,5,0.058823529,81,2,0.024691358,4,0,0,0,0
Cameroon,CMR,0,2,0,1,1968,Mexico City,MEX,1.046191192,North,East,6201410,45.509,5286.381803,5,1,0.2,5,1,0.2,0,0,0,0,0
Denmark,DNK,3,8,3,8,1968,Mexico City,MEX,13.50557387,North,East,4864883,73.12146341,4769.836091,68,8,0.117647059,64,7,0.109375,4,0,0,0,0
Finland,FIN,3,4,1,4,1968,Mexico City,MEX,8.82303388,North,East,4626469,69.61634146,4940.610108,66,4,0.060606061,60,4,0.066666667,6,0,0,0,0
France,FRA,21,6,5,15,1968,Mexico City,MEX,129.785,North,East,51175507,71.3097561,4657.586983,200,15,0.075,169,12,0.071005917,31,1,0.032258065,2,0.01
United Kingdom,GBR,15,10,3,13,1968,Mexico City,MEX,107.76,North,West,55211700,71.72439024,4727.145661,225,13,0.057777778,175,4,0.022857143,50,2,0.04,7,0.031111111
Greece,GRC,0,0,1,1,1968,Mexico City,MEX,10.0906759,North,East,8740765,70.30256098,4570.22862,44,1,0.022727273,44,1,0.022727273,0,0,0,0,0
India,IND,0,0,1,1,1968,Mexico City,MEX,53.08545587,North,East,531513834,46.428,5416.461758,25,1,0.04,25,1,0.04,0,0,0,0,0
Iran,IRN,6,2,2,5,1968,Mexico City,MEX,8.62317296,North,East,27032576,49.503,4946.229137,14,5,0.357142857,14,5,0.357142857,0,0,0,0,0
Italy,ITA,9,8,9,16,1968,Mexico City,MEX,87.94223168,North,East,53235750,70.78,4550.870026,167,16,0.095808383,152,13,0.085526316,15,0,0,0,0
Jamaica,JAM,0,2,0,1,1968,Mexico City,MEX,1.083883355,North,West,1825873,67.349,6373.497473,25,1,0.04,20,1,0.05,5,0,0,0,0
