,Year,Country Code,Male Wins,Male Medal Ratio,Female Wins,Female Medal Ratio,Total Medal Count,Open Wins,Open Win Ratio
0,1964,AUS,10.0,0.5555555555555556,7.0,0.3888888888888889,18,1.0,0.05555555555555555
1,1964,BEL,3.0,1.0,,,3,,
2,1964,BGR,10.0,1.0,,,10,,
3,1964,BRA,1.0,1.0,,,1,,
4,1964,CAN,4.0,1.0,,,4,,
5,1964,CHE,2.0,0.5,,,4,,
6,1964,CUB,1.0,1.0,,,1,,
7,1964,CZE,10.0,0.7142857142857143,4.0,0.2857142857142857,14,0.0,0.0
8,1964,DEU,33.0,0.66,9.0,0.18,50,8.0,0.16
9,1964,DNK,4.0,0.6666666666666666,,,6,,
10,1964,DQ,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
11,1964,ETH,1.0,1.0,,,1,,
12,1964,FIN,5.0,1.0,,,5,,
13,1964,FRA,11.0,0.7333333333333333,2.0,0.13333333333333333,15,2.0,0.13333333333333333
14,1964,GBR,11.0,0.6111111111111112,5.0,0.2777777777777778,18,2.0,0.1111111111111111
15,1964,GHA,1.0,1.0,,,1,,
16,1964,HUN,17.0,0.7727272727272727,5.0,0.22727272727272727,22,0.0,0.0
17,1964,IND,1.0,1.0,,,1,,
18,1964,IRL,1.0,1.0,,,1,,
19,1964,IRN,2.0,1.0,,,2,,
20,1964,ITA,23.0,0.8518518518518519,1.0,0.037037037037037035,27,3.0,0.1111111111111111
21,1964,JPN,27.0,0.9310344827586207,2.0,0.06896551724137931,29,0.0,0.0
22,1964,KEN,1.0,1.0,,,1,,
23,1964,KOR,3.0,1.0,,,3,,
24,1964,MEX,1.0,1.0,,,1,,
25,1964,MNE,5.0,1.0,,,5,,
26,1964,NGA,1.0,1.0,,,1,,
27,1964,NLD,7.0,0.7,3.0,0.3,10,0.0,0.0
28,1964,NZL,3.0,0.6,1.0,0.2,5,1.0,0.2
29,1964,PAK,1.0,1.0,,,1,,
30,1964,PHL,1.0,1.0,,,1,,
31,1964,POL,17.0,0.7391304347826086,6.0,0.2608695652173913,23,0.0,0.0
32,1964,ROU,7.0,0.5833333333333334,5.0,0.4166666666666667,12,0.0,0.0
33,1964,RUS,69.0,0.71875,25.0,0.2604166666666667,96,2.0,0.020833333333333332
34,1964,SWE,6.0,0.75,,,8,,
35,1964,TTO,3.0,1.0,,,3,,
36,1964,TUN,2.0,1.0,,,2,,
37,1964,TUR,6.0,1.0,,,6,,
38,1964,URY,1.0,1.0,,,1,,
39,1964,USA,60.0,0.6666666666666666,24.0,0.26666666666666666,90,6.0,0.06666666666666667
40,1968,ARG,2.0,1.0,,,2,,
41,1968,AUS,9.0,0.5294117647058824,7.0,0.4117647058823529,17,1.0,0.058823529411764705
42,1968,AUT,1.0,0.25,2.0,0.5,4,1.0,0.25
43,1968,BEL,2.0,1.0,,,2,,
44,1968,BGR,9.0,1.0,,,9,,
45,1968,BRA,2.0,0.6666666666666666,,,3,,
46,1968,CAN,1.0,0.2,3.0,0.6,5,1.0,0.2
