Year,Country Code,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
1964,AUS,243,18,0.074074074,203,10,0.555555556,40,7,0.388888889,1,0.055555556
1964,BEL,61,3,0.049180328,60,3,1,1,,,,
1964,BGR,63,10,0.158730159,56,10,1,7,,,,
1964,BRA,61,1,0.016393443,60,1,1,1,,,,
1964,CAN,115,4,0.034782609,95,4,1,20,,,,
1964,CHE,66,4,0.060606061,65,2,0.5,1,,,,
1964,CUB,27,1,0.037037037,25,1,1,2,,,,
1964,CZE,104,14,0.134615385,95,10,0.714285714,9,4,0.285714286,0,0
1964,DEU,337,50,0.148367953,275,33,0.66,62,9,0.18,8,0.16
1964,DNK,64,6,0.09375,57,4,0.666666667,7,,,,
1964,DQ,,3,,,2,0.666666667,,1,0.333333333,0,0
1964,ETH,12,1,0.083333333,12,1,1,0,,,,
1964,FIN,89,5,0.056179775,84,5,1,5,,,,
1964,FRA,138,15,0.108695652,118,11,0.733333333,20,2,0.133333333,2,0.133333333
1964,GBR,204,18,0.088235294,160,11,0.611111111,44,5,0.277777778,2,0.111111111
1964,GHA,33,1,0.03030303,30,1,1,3,,,,
1964,HUN,182,22,0.120879121,150,17,0.772727273,32,5,0.227272727,0,0
1964,IND,53,1,0.018867925,52,1,1,1,,,,
1964,IRL,25,1,0.04,24,1,1,1,,,,
1964,IRN,62,2,0.032258065,58,2,1,4,,,,
1964,ITA,168,27,0.160714286,157,23,0.851851852,11,1,0.037037037,3,0.111111111
1964,JPN,328,29,0.088414634,270,27,0.931034483,58,2,0.068965517,0,0
1964,KEN,37,1,0.027027027,37,1,1,0,,,,
1964,KOR,154,3,0.019480519,128,3,1,26,,,,
1964,MEX,94,1,0.010638298,90,1,1,4,,,,
1964,MNE,,5,,,5,1,,,,,
1964,NGA,18,1,0.055555556,16,1,1,2,,,,
1964,NLD,125,10,0.08,105,7,0.7,20,3,0.3,0,0
1964,NZL,64,5,0.078125,56,3,0.6,8,1,0.2,1,0.2
1964,PAK,41,1,0.024390244,41,1,1,0,,,,
1964,PHL,47,1,0.021276596,40,1,1,7,,,,
1964,POL,140,23,0.164285714,115,17,0.739130435,25,6,0.260869565,0,0
1964,ROU,138,12,0.086956522,108,7,0.583333333,30,5,0.416666667,0,0
1964,RUS,317,96,0.302839117,254,69,0.71875,63,25,0.260416667,2,0.020833333
1964,SWE,94,8,0.085106383,76,6,0.75,18,,,,
