Country Code,Gold,Gold_scaled,Total_S,Silver_Scaled,Total_B,Total Medals,Total Competitors,Total Win Ratio,Total Men,Male Wins,Male win ratio,Total Women,Female Wins,Female Win Ratio,Open Wins,Open Win Ratio
MUS,1,3,,0,,1,48,0.020833333,34,1,0.029411765,14,0,0,0,0
ARG,,0,,0,1,1,195,0.005128205,136,0,0,59,1,0.016949153,0,0
ARM,,0,2,4,2,4,17,0.235294118,14,4,0.285714286,3,0,0,0,0
AUS,16,48,6,12,20,42,499,0.084168337,233,19,0.081545064,266,21,0.078947368,2,0.004008016
AUT,1,3,1,2,5,7,75,0.093333333,36,2,0.055555556,39,5,0.128205128,0,0
AZE,,0,2,4,4,6,45,0.133333333,29,3,0.103448276,16,2,0.125,1,0.022222222
BEL,2,6,1,2,1,4,129,0.031007752,7200%,2,0.027777778,57,2,0.035087719,0,0
BMU,1,3,,0,,1,2,0.5,1,0,0,1,1,1,0,0
BLR,1,3,2,4,3,6,111,0.054054054,46,3,0.065217391,65,3,0.046153846,0,0
BRA,5,15,5,10,8,18,325,0.055384615,171,10,0.058479532,154,6,0.038961039,2,0.006153846
BGR,3,9,1,2,2,6,42,0.142857143,14,1,0.071428571,28,5,0.178571429,0,0
CAN,4,12,5,10,7,16,394,0.040609137,154,2,0.012987013,240,14,0.058333333,0,0
CHN,35,105,30,60,17,82,435,0.188505747,136,33,0.242647059,299,42,0.140468227,7,0.016091954
CIV,,0,,0,1,1,32,0.03125,26,0,0,6,1,0.166666667,0,0
COL,,0,2,4,1,3,70,0.042857143,47,2,0.042553191,23,1,0.043478261,0,0
HRV,3,9,3,6,2,8,61,0.131147541,41,7,0.170731707,20,1,0.05,0,0
CUB,7,21,3,6,5,15,69,0.217391304,36,12,0.333333333,33,3,0.090909091,0,0
CZE,4,12,3,6,2,9,119,0.075630252,75,8,0.106666667,44,1,0.022727273,0,0
DNK,3,9,2,4,4,9,110,0.081818182,58,5,0.086206897,52,4,0.076923077,0,0
DOM,,0,2,4,2,4,75,0.053333333,44,2,0.045454545,31,2,0.064516129,0,0
ECU,2,6,1,2,,3,47,0.063829787,17,1,0.058823529,30,2,0.066666667,0,0
EGY,1,3,1,2,4,6,146,0.04109589,95,2,0.021052632,51,4,0.078431373,0,0
ESP,3,9,5,10,5,13,347,0.037463977,203,7,0.034482759,144,4,0.027777778,2,0.005763689
EST,1,3,,0,1,2,34,0.058823529,20,0,0,14,2,0.142857143,0,0
ETH,1,3,1,2,1,3,44,0.068181818,19,2,0.105263158,25,1,0.04,0,0
FJI,1,3,,0,1,2,34,0.058823529,16,2,0.125,18,0,0,0,0
FIN,,0,,0,2,2,48,0.041666667,22,1,0.045454545,26,1,0.038461538,0,0
FRA,7,21,11,22,11,29,403,0.071960298,225,15,0.066666667,178,12,0.06741573,2,0.004962779
GBR,20,60,19,38,18,57,391,0.145780051,183,31,0.169398907,208,20,0.096153846,6,0.015345269
GEO,2,6,5,10,1,8,35,0.228571429,29,8,0.275862069,6,0,0,0,0
DEU,9,27,9,18,16,34,419,0.081145585,247,16,0.064777328,172,15,0.087209302,3,0.007159905
GHA,,0,,0,1,1,14,0.071428571,12,1,0.083333333,2,0,0,0,0
GRC,2,6,,0,1,3,83,0.036144578,47,3,0.063829787,36,0,0,0,0
HKG,1,3,2,4,3,6,43,0.139534884,17,1,0.058823529,26,4,0.153846154,1,0.023255814
HUN,5,15,7,14,5,17,177,0.096045198,82,12,0.146341463,95,5,0.052631579,0,0
IDN,1,3,1,2,3,5,28,0.178571429,16,2,0.125,12,2,0.166666667,1,0.035714286
IND,,0,2,4,3,5,126,0.03968254,70,3,0.042857143,56,2,0.035714286,0,0
IRN,3,9,2,4,2,7,68,0.102941176,57,6,0.105263158,11,1,0.090909091,0,0
IRL,2,6,,0,2,4,122,0.032786885,64,2,0.03125,58,2,0.034482759,0,0
ISR,2,6,,0,2,4,92,0.043478261,57,2,0.035087719,35,2,0.057142857,0,0
ITA,7,21,10,20,20,37,382,0.096858639,197,17,0.086294416,185,18,0.097297297,2,0.005235602
JAM,2,6,1,2,2,5,65,0.076923077,31,1,0.032258065,34,4,0.117647059,0,0
JOR,,0,1,2,1,2,14,0.142857143,10,2,0.2,4,0,0,0,0
JPN,26,78,13,26,15,54,622,0.08681672,329,26,0.079027356,293,27,0.092150171,1,0.001607717
KAZ,,0,,0,8,8,97,0.082474227,64,6,0.09375,33,2,0.060606061,0,0
KEN,1,3,2,4,2,5,89,0.056179775,39,3,0.076923077,50,2,0.04,0,0
KGZ,,0,2,4,1,3,17,0.176470588,11,1,0.090909091,6,2,0.333333333,0,0
KOR,6,18,4,8,10,20,244,0.081967213,137,10,0.072992701,107,8,0.074766355,2,0.008196721
KOS,2,6,,0,,2,11,0.181818182,5,0,0,6,2,0.333333333,0,0
SAU,,0,1,2,,1,35,0.028571429,33,1,0.03030303,2,0,0,0,0
KWT,,0,,0,1,1,10,0.1,8,0,0,2,1,0.5,0,0
LVA,1,3,,0,1,2,33,0.060606061,20,2,0.1,13,0,0,0,0
LTU,,0,1,2,,1,41,0.024390244,25,1,0.04,16,0,0,0,0
MYS,,0,1,2,1,2,30,0.066666667,12,1,0.083333333,18,1,0.055555556,0,0
MEX,,0,,0,3,3,168,0.017857143,102,0,0,66,1,0.015151515,2,0.011904762
MNG,,0,1,2,3,4,43,0.093023256,18,2,0.111111111,25,2,0.08,0,0
MKD,,0,1,2,,1,8,0.125,5,1,0.2,3,0,0,0,0
NAM,,0,1,2,,1,12,0.083333333,6,0,0,6,1,0.166666667,0,0
NLD,8,24,9,18,11,28,289,0.096885813,118,17,0.144067797,171,9,0.052631579,2,0.006920415
NGA,,0,1,2,1,2,62,0.032258065,27,0,0,35,2,0.057142857,0,0
NOR,3,9,2,4,1,6,94,0.063829787,59,5,0.084745763,35,1,0.028571429,0,0
NZL,7,21,6,12,6,19,231,0.082251082,120,5,0.041666667,111,14,0.126126126,0,0
PHL,1,3,2,4,1,4,19,0.210526316,9,1,0.111111111,10,3,0.3,0,0
POL,3,9,3,6,4,10,218,0.04587156,114,3,0.026315789,104,5,0.048076923,2,0.009174312
PRT,,0,1,2,2,3,96,0.03125,60,2,0.033333333,36,1,0.027777778,0,0
PRI,1,3,,0,,1,37,0.027027027,13,0,0,24,1,0.041666667,0,0
QAT,2,6,,0,1,3,16,0.1875,13,2,0.153846154,3,1,0.333333333,0,0
RUS,19,57,25,50,21,65,345,0.188405797,151,32,0.21192053,194,31,0.159793814,2,0.005797101
ROU,1,3,3,6,,4,106,0.037735849,59,2,0.033898305,47,2,0.042553191,0,0
ZAF,1,3,2,4,,3,196,0.015306122,129,1,0.007751938,67,2,0.029850746,0,0
SVN,3,9,1,2,1,5,54,0.092592593,29,3,0.103448276,25,2,0.08,0,0
SMR,,0,1,2,2,3,5,0.6,3,1,0.333333333,2,1,0.5,1,0.2
SRB,2,6,1,2,4,7,88,0.079545455,44,3,0.068181818,44,3,0.068181818,1,0.011363636
CHE,3,9,4,8,6,13,119,0.109243697,60,6,0.1,59,7,0.118644068,0,0
SVK,1,3,2,4,,3,42,0.071428571,28,0,0,14,3,0.214285714,0,0
SWE,2,6,4,8,,6,135,0.044444444,56,5,0.089285714,79,1,0.012658228,0,0
SYR,,0,,0,1,1,6,0.166666667,5,0,0,1,1,1,0,0
THA,1,3,,0,1,2,42,0.047619048,15,0,0,27,2,0.074074074,0,0
TKM,,0,1,2,,1,9,0.111111111,5,0,0,4,1,0.25,0,0
TWN,2,6,4,8,6,12,70,0.171428571,34,6,0.176470588,36,6,0.166666667,0,0
TUN,1,3,1,2,,2,63,0.031746032,34,1,0.029411765,29,0,0,1,0.015873016
TUR,2,6,2,4,9,13,108,0.12037037,58,7,0.120689655,50,6,0.12,0,0
UGA,1,3,1,2,1,3,26,0.115384615,12,2,0.166666667,14,1,0.071428571,0,0
UKR,1,3,5,10,11,17,162,0.104938272,70,9,0.128571429,92,7,0.076086957,1,0.00617284
USA,33,99,35,70,28,96,632,0.151898734,293,35,0.119453925,339,56,0.16519174,5,0.007911392
UZB,3,9,,0,2,5,70,0.071428571,37,5,0.135135135,33,0,0,0,0
VEN,1,3,3,6,,4,44,0.090909091,31,2,0.064516129,13,2,0.153846154,0,0
