Country,Code,Medal (3=gold),Discipline,Gender
Japan,JPN,1,Boxing,Men
Ghana,GHA,1,Boxing,Men
Armenia,ARM,1,Boxing,Men
Ireland,IRL,1,Boxing,Men
Philippines,PHL,1,Boxing,Men
Russia,RUS,1,Boxing,Men
New Zealand,NZL,1,Boxing,Men
Kazakhstan,KAZ,1,Boxing,Women
Taiwan,TWN,1,Boxing,Women
Italy,ITA,1,Boxing,Women
Finland,FIN,1,Boxing,Women
United States,USA,1,Boxing,Women
Russia,RUS,1,Boxing,Men
France,FRA,1,Judo,Men
Brazil,BRA,1,Judo,Men
Mongolia,MNG,1,Judo,Men
Belgium,BEL,1,Judo,Men
Hungary,HUN,1,Judo,Men
Russia,RUS,1,Judo,Men
Russia,RUS,1,Judo,Women
Mongolia,MNG,1,Judo,Women
United Kingdom,GBR,1,Judo,Women
Canada,CAN,1,Judo,Women
Canada,CAN,1,Judo,Women
Netherlands,NLD,1,Judo,Women
Brazil,BRA,1,Judo,Women
France,FRA,1,Judo,Open
Israel,ISR,1,Judo,Men
United States,USA,1,Karate,Men
Jordan,JOR,1,Karate,Men
Hungary,HUN,1,Karate,Men
Japan,JPN,1,Karate,Women
Italy,ITA,1,Karate,Women
Taiwan,TWN,1,Karate,Women
Egypt,EGY,1,Karate,Women
China,CHN,1,Karate,Men
Russia,RUS,1,Taekwondo,Men
Turkey,TUR,1,Taekwondo,Men
Egypt,EGY,1,Taekwondo,Men
South Korea,KOR,1,Taekwondo,Women
Serbia,SRB,1,Taekwondo,Women
Turkey,TUR,1,Taekwondo,Women
Egypt,EGY,1,Taekwondo,Women
United Kingdom,GBR,1,Taekwondo,Men
Russia,RUS,1,Wrestling,Men
Egypt,EGY,1,Wrestling,Men
Azerbaijan,AZE,1,Wrestling,Men
Serbia,SRB,1,Wrestling,Men
Iran,IRN,1,Wrestling,Men
Russia,RUS,1,Wrestling,Men
United States,USA,1,Wrestling,Men
Uzbekistan,UZB,1,Wrestling,Men
San Marino,SMR,1,Wrestling,Men
Italy,ITA,1,Wrestling,Men
Turkey,TUR,1,Wrestling,Women
United States,USA,1,Wrestling,Women
Mongolia,MNG,1,Wrestling,Women
Bulgaria,BGR,1,Wrestling,Women
Bulgaria,BGR,1,Wrestling,Women
Kyrgyzstan,KGZ,1,Wrestling,Women
China,CHN,1,Wrestling,Women
Hungary,HUN,2,Canoe Slalom,Men
Hungary,HUN,3,Fencing,Men
Brazil,BRA,3,Sport Climbing,Men
Japan,JPN,3,Judo,Men
Kuwait,KWT,1,Shooting,Women
Russia,RUS,3,Wrestling,Men
Israel,ISR,1,Taekwondo,Women
Brazil,BRA,1,Boxing,Men
United Kingdom,GBR,3,Swimming,Men
United States,USA,2,Wrestling,Women
Spain,ESP,2,Taekwondo,Men
Egypt,EGY,2,Marathon Swimming,Women
Tunisia,TUN,3,Swimming,Men
Uzbekistan,UZB,3,Weightlifting,Men
Japan,JPN,3,Judo,Women
Japan,JPN,1,Sport Climbing,Men
Kyrgyzstan,KGZ,2,Wrestling,Men
Russia,RUS,3,Boxing,Men
Spain,ESP,3,Softball,Men
San Marino,SMR,1,Shooting,Women
United States,USA,2,Swimming,Women
United Kingdom,GBR,2,Trampolining,Women
Czech Republic,CZE,1,Fencing,Men
Germany,DEU,3,Taekwondo,Men
Iran,IRN,2,Weightlifting,Men
Turkey,TUR,1,Karate,Men
Belarus,BLR,1,Rhythmic Gymnastics,Women
Germany,DEU,3,Wrestling,Women
Brazil,BRA,1,Athletics,Men
Ukraine,UKR,1,Wrestling,Women
France,FRA,1,Taekwondo,Men
France,FRA,2,Judo,Women
United States,USA,3,Shooting,Women
Iran,IRN,1,Wrestling,Women
Japan,JPN,1,Surfing,Men
South Korea,KOR,1,Judo,Men
South Korea,KOR,1,Judo,Men
South Korea,KOR,3,Archery,Women
Brazil,BRA,3,Marathon Swimming,Women
Romania,ROU,2,Fencing,Women
Spain,ESP,1,Athletics,Women
United States,USA,3,Taekwondo,Women
Russia,RUS,2,Shooting,Women
Russia,RUS,2,Artistic Gymnastics,Women
Canada,CAN,1,Athletics,Men
Germany,DEU,1,Canoe Slalom,Men
Australia,AUS,1,Equestrian Eventing,Open
Russia,RUS,1,Boxing,Men
Cuba,CUB,3,Boxing,Men
Russia,RUS,1,Artistic Gymnastics,Women
Poland,POL,3,Athletics,Women
Austria,AUT,3,Cycling Road,Women
Russia,RUS,2,Rowing,Men
Netherlands,NLD,1,Cycling Road,Men
Germany,DEU,1,Judo,Women
Denmark,DNK,3,Sailing,Women
Netherlands,NLD,3,Cycling Road,Women
Netherlands,NLD,2,Cycling Road,Men
