Country,Code,Capital,GDP (Billions),Latitude,Longitude,Latitude,Longitude,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
Afghanistan,,Kabul,19.29,34.28N,69.11E,34.28,69.11,North,East,3852.695234,9243.020276,3283.494195,7937.373451,2267.337882,10229.32231,3140.46094,3687.702265,8381.179784,6496.640378,2502.869092,2596.700595,3955.769518,7290.724741,3852.695234
Albania,,Tirane,15.29,41.18N,19.49E,41.18,19.49,North,East,6571.702756,6650.258831,645.8761295,5198.828391,1385.794163,7536.133412,5848.84483,945.7830045,5694.970611,8862.276379,329.6791238,5281.563651,1277.354816,5591.135578,6571.702756
Algeria,,Algiers,171,36.42N,03.08E,36.42,3.08,North,East,7456.896815,5704.149817,932.3905579,4339.752748,2285.897025,6626.090244,6739.011809,346.5107264,4779.414037,9430.625168,1115.622926,6180.126784,1044.929886,4809.973012,7456.896815
American Samoa,,Pago Pago,,14.16S,170.43W,-14.16,-170.4,South,West,17274.49986,4522.583406,10826.12876,6614.730929,12318.14619,4379.072411,16595.20251,10172.10193,5742.998762,17612.49192,11170.60374,16081.21676,10341.61512,6972.944914,17274.49986
Andorra,,Andorra la Vella,3.22,42.31N,01.32E,42.31,1.32,North,East,7566.659669,5710.101626,689.6671018,4203.960189,2166.11581,6552.808731,6843.529703,78.63586014,4716.8915,9726.649424,1252.126668,6275.338342,628.9142562,5113.942627,7566.659669
Angola,,Luanda,89.42,08.50S,13.15E,-8.5,13.15,South,East,7549.71073,6419.958724,3909.100005,6111.341675,4606.135478,7751.422936,6949.376417,3494.223297,6071.374855,7738.665587,3228.967809,6530.700463,4192.749198,3231.823078,7549.71073
Antigua and Barbuda,,West Indies,1.66,17.20N,61.48W,17.2,-61.48,North,West,11055.47927,2058.682496,4524.417593,2098.780913,6006.97345,3310.00771,10357.08009,3855.329918,1693.74307,12135.74144,4846.229317,9823.135527,4099.448352,2942.618984,11055.47927
Argentina,,Buenos Aires,446,36.30S,60.00W,-36.3,-60,South,West,11979.01152,4384.369678,7015.770065,5707.86309,8266.251627,5802.97869,11379.30611,6344.970262,5013.546431,11533.28485,6837.56043,10951.96318,6877.436486,1303.080956,11979.01152
Armenia,,Yerevan,13.67,40.10N,44.31E,40.1,44.31,North,East,5214.490326,7961.875734,1871.185441,6556.044561,1125.260362,8885.04204,4491.701293,2302.565068,7040.666552,7753.556298,1151.612601,3925.377452,2543.617705,6458.829748,5214.490326
Aruba,,Oranjestad,3.09,12.32N,70.02W,12.32,-70.02,North,West,11560.89616,1657.216431,5094.9917,2309.387607,6574.50794,3029.820032,10867.65721,4422.596476,1673.937056,12492.5469,5393.397585,10339.75272,4674.559738,2838.717012,11560.89616
Australia,,Canberra,1397,35.15S,149.08E,-35.15,149,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
Austria,,Vienna,445,48.12N,16.22E,48.12,16.22,North,East,6793.721355,6605.111663,253.3477585,5014.993429,1259.691378,7405.428284,6067.31086,896.7318071,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.69563,6793.721355
Azerbaijan,,Baku,48.17,40.29N,49.56E,40.29,49.56,North,East,4929.188187,8246.251439,2143.280101,6841.54925,1240.420589,9171.991444,4205.953166,2588.606963,7327.578349,7549.013006,1437.275639,3638.902247,2814.342634,6682.150324,4929.188187
Bahamas,,Nassau,13.58,25.05N,77.20W,25.05,-77.2,North,West,11862.7069,1262.03307,5102.498263,1413.853863,6596.803801,2325.242769,11154.14467,4477.864708,717.2687331,13117.11126,5563.622291,10606.93156,4586.923845,3795.177807,11862.7069
