LOCATION,Country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,Australia,GDP,TOT,MLN_USD,A,1960,25034.74,
AUS,Australia,GDP,TOT,MLN_USD,A,1961,25326.382,
AUS,Australia,GDP,TOT,MLN_USD,A,1962,27913.206,
AUS,Australia,GDP,TOT,MLN_USD,A,1963,30385.723,
AUS,Australia,GDP,TOT,MLN_USD,A,1964,32694.467,
AUS,Australia,GDP,TOT,MLN_USD,A,1965,34489.925,
AUS,Australia,GDP,TOT,MLN_USD,A,1966,38285.311,
AUS,Australia,GDP,TOT,MLN_USD,A,1967,41004.016,
AUS,Australia,GDP,TOT,MLN_USD,A,1968,46488.435,
AUS,Australia,GDP,TOT,MLN_USD,A,1969,52131.937,
AUS,Australia,GDP,TOT,MLN_USD,A,1970,58744.426,
AUS,Australia,GDP,TOT,MLN_USD,A,1971,64011.08,
AUS,Australia,GDP,TOT,MLN_USD,A,1972,69667.086,
AUS,Australia,GDP,TOT,MLN_USD,A,1973,78684.326,
AUS,Australia,GDP,TOT,MLN_USD,A,1974,86152.081,
AUS,Australia,GDP,TOT,MLN_USD,A,1975,96659.873,
AUS,Australia,GDP,TOT,MLN_USD,A,1976,104079.405,
AUS,Australia,GDP,TOT,MLN_USD,A,1977,110056.543,
AUS,Australia,GDP,TOT,MLN_USD,A,1978,123092.289,
AUS,Australia,GDP,TOT,MLN_USD,A,1979,137700.414,
AUS,Australia,GDP,TOT,MLN_USD,A,1980,154714.29,
AUS,Australia,GDP,TOT,MLN_USD,A,1981,177927.212,
AUS,Australia,GDP,TOT,MLN_USD,A,1982,181561.596,
AUS,Australia,GDP,TOT,MLN_USD,A,1983,196112.732,
AUS,Australia,GDP,TOT,MLN_USD,A,1984,211307.195,
AUS,Australia,GDP,TOT,MLN_USD,A,1985,228433.427,
AUS,Australia,GDP,TOT,MLN_USD,A,1986,239508.375,
AUS,Australia,GDP,TOT,MLN_USD,A,1987,260400.381,
AUS,Australia,GDP,TOT,MLN_USD,A,1988,282358.294,
AUS,Australia,GDP,TOT,MLN_USD,A,1989,298996.814,
AUS,Australia,GDP,TOT,MLN_USD,A,1990,303536.564,
AUS,Australia,GDP,TOT,MLN_USD,A,1991,313292.169,
AUS,Australia,GDP,TOT,MLN_USD,A,1992,333745.071,
AUS,Australia,GDP,TOT,MLN_USD,A,1993,354785.379,
AUS,Australia,GDP,TOT,MLN_USD,A,1994,380139.685,
AUS,Australia,GDP,TOT,MLN_USD,A,1995,402481.437,
AUS,Australia,GDP,TOT,MLN_USD,A,1996,423181.512,
AUS,Australia,GDP,TOT,MLN_USD,A,1997,449576.869,
AUS,Australia,GDP,TOT,MLN_USD,A,1998,476921.51,
AUS,Australia,GDP,TOT,MLN_USD,A,1999,509779.868,
AUS,Australia,GDP,TOT,MLN_USD,A,2000,537613.644,
AUS,Australia,GDP,TOT,MLN_USD,A,2001,568472.868,
AUS,Australia,GDP,TOT,MLN_USD,A,2002,599301.22,
AUS,Australia,GDP,TOT,MLN_USD,A,2003,635958.179,
AUS,Australia,GDP,TOT,MLN_USD,A,2004,675038.955,
AUS,Australia,GDP,TOT,MLN_USD,A,2005,717705.079,
AUS,Australia,GDP,TOT,MLN_USD,A,2006,773925.843,
AUS,Australia,GDP,TOT,MLN_USD,A,2007,824690.484,
AUS,Australia,GDP,TOT,MLN_USD,A,2008,851983.13,
AUS,Australia,GDP,TOT,MLN_USD,A,2009,902680.372,
AUS,Australia,GDP,TOT,MLN_USD,A,2010,942676.08,
AUS,Australia,GDP,TOT,MLN_USD,A,2011,992327.38,
AUS,Australia,GDP,TOT,MLN_USD,A,2012,997527.347,
AUS,Australia,GDP,TOT,MLN_USD,A,2013,1104626.135,
AUS,Australia,GDP,TOT,MLN_USD,A,2014,1118494.158,
AUS,Australia,GDP,TOT,MLN_USD,A,2015,1126907.643,
AUS,Australia,GDP,TOT,MLN_USD,A,2016,1215297.461,
AUS,Australia,GDP,TOT,MLN_USD,A,2017,1251095.561,
AUS,Australia,GDP,TOT,MLN_USD,A,2018,1326164.114,
AUS,Australia,GDP,TOT,MLN_USD,A,2019,1346385.112,
AUS,Australia,GDP,TOT,MLN_USD,A,2020,1329644.452,E
AUT,Austria,GDP,TOT,MLN_USD,A,1970,28524.282,E
AUT,Austria,GDP,TOT,MLN_USD,A,1971,31502.638,E
AUT,Austria,GDP,TOT,MLN_USD,A,1972,34904.601,E
AUT,Austria,GDP,TOT,MLN_USD,A,1973,38616.706,E
AUT,Austria,GDP,TOT,MLN_USD,A,1974,43751.694,E
AUT,Austria,GDP,TOT,MLN_USD,A,1975,47631.052,E
AUT,Austria,GDP,TOT,MLN_USD,A,1976,52552.426,E
AUT,Austria,GDP,TOT,MLN_USD,A,1977,58653.225,E
AUT,Austria,GDP,TOT,MLN_USD,A,1978,62646.55,E
AUT,Austria,GDP,TOT,MLN_USD,A,1979,71478.283,E
AUT,Austria,GDP,TOT,MLN_USD,A,1980,79284.374,E
AUT,Austria,GDP,TOT,MLN_USD,A,1981,86661.176,E
AUT,Austria,GDP,TOT,MLN_USD,A,1982,93865.958,E
AUT,Austria,GDP,TOT,MLN_USD,A,1983,100442.497,E
AUT,Austria,GDP,TOT,MLN_USD,A,1984,104119.538,E
AUT,Austria,GDP,TOT,MLN_USD,A,1985,110096.149,E
AUT,Austria,GDP,TOT,MLN_USD,A,1986,114898.143,E
AUT,Austria,GDP,TOT,MLN_USD,A,1987,119336.908,E
AUT,Austria,GDP,TOT,MLN_USD,A,1988,127618.385,E
AUT,Austria,GDP,TOT,MLN_USD,A,1989,137776.553,E
AUT,Austria,GDP,TOT,MLN_USD,A,1990,149145.39,E
AUT,Austria,GDP,TOT,MLN_USD,A,1991,159495.737,E
AUT,Austria,GDP,TOT,MLN_USD,A,1992,166545.677,E
AUT,Austria,GDP,TOT,MLN_USD,A,1993,171389.776,E
AUT,Austria,GDP,TOT,MLN_USD,A,1994,179254.497,E
AUT,Austria,GDP,TOT,MLN_USD,A,1995,187895.922,
AUT,Austria,GDP,TOT,MLN_USD,A,1996,194997.651,
AUT,Austria,GDP,TOT,MLN_USD,A,1997,202530.57,
AUT,Austria,GDP,TOT,MLN_USD,A,1998,212772.479,
AUT,Austria,GDP,TOT,MLN_USD,A,1999,220639.939,
AUT,Austria,GDP,TOT,MLN_USD,A,2000,235450.19,
AUT,Austria,GDP,TOT,MLN_USD,A,2001,238981.852,
AUT,Austria,GDP,TOT,MLN_USD,A,2002,251984.784,
AUT,Austria,GDP,TOT,MLN_USD,A,2003,260788.036,
AUT,Austria,GDP,TOT,MLN_USD,A,2004,275769.77,
AUT,Austria,GDP,TOT,MLN_USD,A,2005,288086.722,
