Event,Name,NOC,Pos.,Year,Discipline
"Balance Beam, Women",VÄra ÄÃ¡slavskÃ¡,TCH,1,1964,Artistic Gymnastics
"Balance Beam, Women",Tamara Manina,URS,2,1964,Artistic Gymnastics
"Balance Beam, Women",Larisa Latynina,URS,3,1964,Artistic Gymnastics
"Floor Exercise, Men",Franco Menichelli,ITA,1,1964,Artistic Gymnastics
"Floor Exercise, Men",,,1,1964,Artistic Gymnastics
"Floor Exercise, Men",Viktor LisitskyYukio Endo,URS,2,1964,Artistic Gymnastics
"Floor Exercise, Men",,JPN,2,1964,Artistic Gymnastics
"Floor Exercise, Men",0,0,3,1964,Artistic Gymnastics
"Floor Exercise, Men",,,3,1964,Artistic Gymnastics
"Floor Exercise, Women",Larisa Latynina,URS,1,1964,Artistic Gymnastics
"Floor Exercise, Women",Polina Astakhova,URS,2,1964,Artistic Gymnastics
"Floor Exercise, Women",AnikÃ³ Ducza-JÃ¡nosi,HUN,3,1964,Artistic Gymnastics
"Horizontal Bar, Men",Boris Shakhlin,URS,1,1964,Artistic Gymnastics
"Horizontal Bar, Men",Yury Titov,URS,2,1964,Artistic Gymnastics
"Horizontal Bar, Men",Miroslav Cerar,YUG,3,1964,Artistic Gymnastics
"Horse Vault, Men",Haruhiro Yamashita,JPN,1,1964,Artistic Gymnastics
"Horse Vault, Men",Viktor Lisitsky,URS,2,1964,Artistic Gymnastics
"Horse Vault, Men",Hannu Rantakari,FIN,3,1964,Artistic Gymnastics
"Horse Vault, Women",VÄra ÄÃ¡slavskÃ¡,TCH,1,1964,Artistic Gymnastics
"Horse Vault, Women",,,1,1964,Artistic Gymnastics
"Horse Vault, Women",0,0,3,1964,Artistic Gymnastics
"Horse Vault, Women",Larisa LatyninaBirgit Radochla,URS,2,1964,Artistic Gymnastics
"Horse Vault, Women",,GER,2,1964,Artistic Gymnastics
"Horse Vault, Women",,,3,1964,Artistic Gymnastics
"Individual All-Around, Men",Yukio Endo,JPN,1,1964,Artistic Gymnastics
"Individual All-Around, Men",,,1,1964,Artistic Gymnastics
"Individual All-Around, Men",,,1,1964,Artistic Gymnastics
"Individual All-Around, Men",0,0,3,1964,Artistic Gymnastics
"Individual All-Around, Men",Shuji TsurumiViktor LisitskyBoris Shakhlin,JPN,2,1964,Artistic Gymnastics
"Individual All-Around, Men",,URS,2,1964,Artistic Gymnastics
"Individual All-Around, Men",,URS,2,1964,Artistic Gymnastics
"Individual All-Around, Men",,,3,1964,Artistic Gymnastics
"Individual All-Around, Men",,,3,1964,Artistic Gymnastics
"Individual All-Around, Women",VÄra ÄÃ¡slavskÃ¡,TCH,1,1964,Artistic Gymnastics
"Individual All-Around, Women",Larisa Latynina,URS,2,1964,Artistic Gymnastics
"Individual All-Around, Women",Polina Astakhova,URS,3,1964,Artistic Gymnastics
"Parallel Bars, Men",Yukio Endo,JPN,1,1964,Artistic Gymnastics
"Parallel Bars, Men",Shuji Tsurumi,JPN,2,1964,Artistic Gymnastics
"Parallel Bars, Men",Franco Menichelli,ITA,3,1964,Artistic Gymnastics
"Pommelled Horse, Men",Miroslav Cerar,YUG,1,1964,Artistic Gymnastics
"Pommelled Horse, Men",Shuji Tsurumi,JPN,2,1964,Artistic Gymnastics
"Pommelled Horse, Men",Yury Tsapenko,URS,3,1964,Artistic Gymnastics
"Rings, Men",Takuji Hayata,JPN,1,1964,Artistic Gymnastics
"Rings, Men",Franco Menichelli,ITA,2,1964,Artistic Gymnastics
"Rings, Men",Boris Shakhlin,URS,3,1964,Artistic Gymnastics
"Team All-Around, Men",Japan,JPN,1,1964,Artistic Gymnastics
"Team All-Around, Men",Soviet Union,URS,2,1964,Artistic Gymnastics
"Team All-Around, Men",Unified Team of Germany,GER,3,1964,Artistic Gymnastics
"Team All-Around, Women",Soviet Union,URS,1,1964,Artistic Gymnastics
"Team All-Around, Women",Czechoslovakia,TCH,2,1964,Artistic Gymnastics
"Team All-Around, Women",Japan,JPN,3,1964,Artistic Gymnastics
"Uneven Bars, Women",Polina Astakhova,URS,1,1964,Artistic Gymnastics
"Uneven Bars, Women",Katalin Makray,HUN,2,1964,Artistic Gymnastics
"Uneven Bars, Women",Larisa Latynina,URS,3,1964,Artistic Gymnastics
"1,500 metres, Men",Peter Snell,NZL,1,1964,Athletics
"1,500 metres, Men",Josef OdloÅ¾il,TCH,2,1964,Athletics
"1,500 metres, Men",John Davies,NZL,3,1964,Athletics
"10,000 metres, Men",Billy Mills,USA,1,1964,Athletics
"10,000 metres, Men",Mohamad Gammoudi,TUN,2,1964,Athletics
"10,000 metres, Men",Ron Clarke,AUS,3,1964,Athletics
"100 metres, Men",Bob Hayes,USA,1,1964,Athletics
"100 metres, Men",Enrique Figuerola,CUB,2,1964,Athletics
"100 metres, Men",Harry Jerome,CAN,3,1964,Athletics
"100 metres, Women",Wyomia Tyus,USA,1,1964,Athletics
"100 metres, Women",Edith McGuire,USA,2,1964,Athletics
"100 metres, Women",Ewa KÅobukowska,POL,3,1964,Athletics
"110 metres Hurdles, Men",Hayes Jones,USA,1,1964,Athletics
"110 metres Hurdles, Men",Blaine Lindgren,USA,2,1964,Athletics
"110 metres Hurdles, Men",Anatoly Mikhaylov,URS,3,1964,Athletics
"20 kilometres Walk, Men",Ken Matthews,GBR,1,1964,Athletics
"20 kilometres Walk, Men",Dieter Lindner,GER,2,1964,Athletics
"20 kilometres Walk, Men",Vladimir Golubnichy,URS,3,1964,Athletics
"200 metres, Men",Henry Carr,USA,1,1964,Athletics
"200 metres, Men",Paul Drayton,USA,2,1964,Athletics
"200 metres, Men",Edwin Roberts,TTO,3,1964,Athletics
"200 metres, Women",Edith McGuire,USA,1,1964,Athletics
"200 metres, Women",Irena Kirszenstein,POL,2,1964,Athletics
"200 metres, Women",Marilyn Black,AUS,3,1964,Athletics
"3,000 metres Steeplechase, Men",Gaston Roelants,BEL,1,1964,Athletics
"3,000 metres Steeplechase, Men",Maurice Herriott,GBR,2,1964,Athletics
"3,000 metres Steeplechase, Men",Ivan Belyayev,URS,3,1964,Athletics
"4 Ã 100 metres Relay, Men",United States,USA,1,1964,Athletics
"4 Ã 100 metres Relay, Men",Poland,POL,2,1964,Athletics
"4 Ã 100 metres Relay, Men",France,FRA,3,1964,Athletics
"4 Ã 100 metres Relay, Women",Poland,POL,1,1964,Athletics
"4 Ã 100 metres Relay, Women",United States,USA,2,1964,Athletics
"4 Ã 100 metres Relay, Women",Great Britain,GBR,3,1964,Athletics
"4 Ã 400 metres Relay, Men",United States,USA,1,1964,Athletics
"4 Ã 400 metres Relay, Men",Great Britain,GBR,2,1964,Athletics
"4 Ã 400 metres Relay, Men",Trinidad and Tobago,TTO,3,1964,Athletics
"400 metres Hurdles, Men",Rex Cawley,USA,1,1964,Athletics
"400 metres Hurdles, Men",John Cooper,GBR,2,1964,Athletics
"400 metres Hurdles, Men",Salvatore Morale,ITA,3,1964,Athletics
"400 metres, Men",Mike Larrabee,USA,1,1964,Athletics
"400 metres, Men",Wendell Mottley,TTO,2,1964,Athletics
"400 metres, Men",Andrzej BadeÅski,POL,3,1964,Athletics
"400 metres, Women",Betty Cuthbert,AUS,1,1964,Athletics
"400 metres, Women",Ann Packer,GBR,2,1964,Athletics
"400 metres, Women",Judy Amoore,AUS,3,1964,Athletics
"5,000 metres, Men",Bob Schul,USA,1,1964,Athletics
"5,000 metres, Men",Harald Norpoth,GER,2,1964,Athletics
"5,000 metres, Men",Bill Dellinger,USA,3,1964,Athletics
"50 kilometres Walk, Men",Abdon Pamich,ITA,1,1964,Athletics
"50 kilometres Walk, Men",Paul Nihill,GBR,2,1964,Athletics
"50 kilometres Walk, Men",Ingvar Pettersson,SWE,3,1964,Athletics
"80 metres Hurdles, Women",Karin Balzer,GER,1,1964,Athletics
"80 metres Hurdles, Women",Teresa CiepÅy,POL,2,1964,Athletics
"80 metres Hurdles, Women",Pam Kilborn,AUS,3,1964,Athletics
"800 metres, Men",Peter Snell,NZL,1,1964,Athletics
"800 metres, Men",Bill Crothers,CAN,2,1964,Athletics
"800 metres, Men",Wilson Kiprugut,KEN,3,1964,Athletics
"800 metres, Women",Ann Packer,GBR,1,1964,Athletics
"800 metres, Women",Maryvonne Dupureur,FRA,2,1964,Athletics
"800 metres, Women",Marise Chamberlain,NZL,3,1964,Athletics
"Decathlon, Men",Willi Holdorf,GER,1,1964,Athletics
"Decathlon, Men",Rein Aun,URS,2,1964,Athletics
"Decathlon, Men",Hans-Joachim Walde,GER,3,1964,Athletics
"Discus Throw, Men",Al Oerter,USA,1,1964,Athletics
"Discus Throw, Men",LudvÃ­k DanÄk,TCH,2,1964,Athletics
"Discus Throw, Men",Dave Weill,USA,3,1964,Athletics
"Discus Throw, Women",Tamara Press,URS,1,1964,Athletics
"Discus Throw, Women",Ingrid Lotz,GER,2,1964,Athletics
"Discus Throw, Women",Lia Manoliu,ROU,3,1964,Athletics
"Hammer Throw, Men",Romuald Klim,URS,1,1964,Athletics
"Hammer Throw, Men",Gyula ZsivÃ³tzky,HUN,2,1964,Athletics
"Hammer Throw, Men",Uwe Beyer,GER,3,1964,Athletics
"High Jump, Men",Valery Brumel,URS,1,1964,Athletics
"High Jump, Men",John Thomas,USA,2,1964,Athletics
"High Jump, Men",John Rambo,USA,3,1964,Athletics
"High Jump, Women",Iolanda BalaÈ,ROU,1,1964,Athletics
"High Jump, Women",Michele Mason-Brown,AUS,2,1964,Athletics
"High Jump, Women",Taisiya Chenchik,URS,3,1964,Athletics
"Javelin Throw, Men",Pauli Nevala,FIN,1,1964,Athletics
"Javelin Throw, Men",Gergely KulcsÃ¡r,HUN,2,1964,Athletics
"Javelin Throw, Men",JÄnis LÅ«sis,URS,3,1964,Athletics
"Javelin Throw, Women",Mihaela PeneÈ,ROU,1,1964,Athletics
"Javelin Throw, Women",MÃ¡rta Antal-Rudas,HUN,2,1964,Athletics
"Javelin Throw, Women",Yelena Gorchakova,URS,3,1964,Athletics
"Long Jump, Men",Lynn Davies,GBR,1,1964,Athletics
"Long Jump, Men",Ralph Boston,USA,2,1964,Athletics
"Long Jump, Men",Igor Ter-Ovanesyan,URS,3,1964,Athletics
"Long Jump, Women",Mary Rand,GBR,1,1964,Athletics
"Long Jump, Women",Irena Kirszenstein,POL,2,1964,Athletics
"Long Jump, Women",Tatyana Shchelkanova,URS,3,1964,Athletics
"Marathon, Men",Abebe Bikila,ETH,1,1964,Athletics
"Marathon, Men",Basil Heatley,GBR,2,1964,Athletics
"Marathon, Men",Kokichi Tsuburaya,JPN,3,1964,Athletics
"Pentathlon, Women",Irina Press,URS,1,1964,Athletics
"Pentathlon, Women",Mary Rand,GBR,2,1964,Athletics
"Pentathlon, Women",Galina Bystrova,URS,3,1964,Athletics
"Pole Vault, Men",Fred Hansen,USA,1,1964,Athletics
"Pole Vault, Men",Wolfgang Reinhardt,GER,2,1964,Athletics
"Pole Vault, Men",Klaus Lehnertz,GER,3,1964,Athletics
"Shot Put, Men",Dallas Long,USA,1,1964,Athletics
"Shot Put, Men",Randy Matson,USA,2,1964,Athletics
"Shot Put, Men",Vilmos VarjÃº,HUN,3,1964,Athletics
"Shot Put, Women",Tamara Press,URS,1,1964,Athletics
"Shot Put, Women",Renate Garisch-Culmberger,GER,2,1964,Athletics
"Shot Put, Women",Galina Zybina,URS,3,1964,Athletics
"Triple Jump, Men",JÃ³zef Szmidt,POL,1,1964,Athletics
"Triple Jump, Men",Oleg Fedoseyev,URS,2,1964,Athletics
"Triple Jump, Men",Viktor Kravchenko,URS,3,1964,Athletics
"Basketball, Men",United States,USA,1,1964,Basketball
"Basketball, Men",Soviet Union,URS,2,1964,Basketball
"Basketball, Men",Brazil,BRA,3,1964,Basketball
"Bantamweight, Men",Takao Sakurai,JPN,1,1964,Boxing
"Bantamweight, Men",,,1,1964,Boxing
"Bantamweight, Men",Jeong Sin-Jo,KOR,2,1964,Boxing
"Bantamweight, Men",,,2,1964,Boxing
"Bantamweight, Men",Juan FabilaWashington RodrÃ­guez,MEX,3,1964,Boxing
"Bantamweight, Men",,URU,3,1964,Boxing
"Featherweight, Men",Stanislav Stepashkin,URS,1,1964,Boxing
"Featherweight, Men",,,1,1964,Boxing
"Featherweight, Men",Anthony Villanueva,PHI,2,1964,Boxing
"Featherweight, Men",,,2,1964,Boxing
"Featherweight, Men",Charlie BrownHeinz Schulz,USA,3,1964,Boxing
"Featherweight, Men",,GER,3,1964,Boxing
"Flyweight, Men",Fernando Atzori,ITA,1,1964,Boxing
"Flyweight, Men",,,1,1964,Boxing
"Flyweight, Men",Artur Olech,POL,2,1964,Boxing
"Flyweight, Men",,,2,1964,Boxing
"Flyweight, Men",Bob CarmodyStanislav Sorokin,USA,3,1964,Boxing
"Flyweight, Men",,URS,3,1964,Boxing
"Heavyweight, Men",Joe Frazier,USA,1,1964,Boxing
"Heavyweight, Men",,,1,1964,Boxing
"Heavyweight, Men",Hans Huber,GER,2,1964,Boxing
"Heavyweight, Men",,,2,1964,Boxing
"Heavyweight, Men",Giuseppe RosVadim Yemelyanov,ITA,3,1964,Boxing
"Heavyweight, Men",,URS,3,1964,Boxing
"Light-Heavyweight, Men",Cosimo Pinto,ITA,1,1964,Boxing
"Light-Heavyweight, Men",,,1,1964,Boxing
