Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) 
Netherlands,NLD,2,4,4,10,1964,Tokyo,JPN," $18,699,380,731.00 "
Bulgaria,BGR,3,5,2,10,1964,Tokyo,JPN, $-   
Pakistan,PAK,0,1,0,1,1964,Tokyo,JPN," $5,204,955,901.00 "
Brazil,BRA,0,0,1,1,1964,Tokyo,JPN," $21,211,892,260.00 "
Italy,ITA,10,10,7,27,1964,Tokyo,JPN," $63,175,417,019.00 "
Sweden,SWE,2,2,4,8,1964,Tokyo,JPN," $22,532,416,750.00 "
Uruguay,URY,0,0,1,1,1964,Tokyo,JPN," $1,975,701,816.00 "
Ireland,IRL,0,0,1,1,1964,Tokyo,JPN," $2,766,608,946.00 "
Japan,JPN,16,5,8,29,1964,Tokyo,JPN," $81,749,006,382.00 "
Iran,IRN,0,0,2,2,1964,Tokyo,JPN," $5,379,845,648.00 "
Cuba,CUB,0,1,0,1,1964,Tokyo,JPN, $-   
Switzerland,CHE,1,2,1,4,1964,Tokyo,JPN," $14,480,556,572.00 "
India,IND,1,0,0,1,1964,Tokyo,JPN," $56,480,289,941.00 "
Kenya,KEN,0,0,1,1,1964,Tokyo,JPN," $998,759,333.60 "
Philippines,PHL,0,1,0,1,1964,Tokyo,JPN," $5,271,404,668.00 "
Hungary,HUN,10,7,5,22,1964,Tokyo,JPN, $-   
United States,USA,36,26,28,90,1964,Tokyo,JPN," $685,800,000,000.00 "
Romania,ROU,2,4,6,12,1964,Tokyo,JPN, $-   
Yugoslavia,YUG,2,1,2,5,1964,Tokyo,JPN,
Ghana,GHA,0,0,1,1,1964,Tokyo,JPN," $1,731,296,119.00 "
Argentina,ARG,0,1,0,1,1964,Tokyo,JPN," $25,605,249,382.00 "
New Zealand,NZL,3,0,2,5,1964,Tokyo,JPN," $7,274,144,351.00 "
Czech Republic,CZE,5,6,3,14,1964,Tokyo,JPN, $-   
Australia,AUS,6,2,10,18,1964,Tokyo,JPN," $23,764,139,321.00 "
Russia,RUS,30,31,35,96,1964,Tokyo,JPN, $-   
Germany,DEU,10,22,18,50,1964,Tokyo,JPN, $-   
Poland,POL,7,6,10,23,1964,Tokyo,JPN, $-   
South Korea,KOR,0,2,1,3,1964,Tokyo,JPN," $3,458,939,358.00 "
France,FRA,1,8,6,15,1964,Tokyo,JPN," $94,007,851,047.00 "
Mexico,MEX,0,0,1,1,1964,Tokyo,JPN," $20,080,000,000.00 "
Finland,FIN,3,0,2,5,1964,Tokyo,JPN," $7,766,655,086.00 "
